"","landscape","site","year","uniqueID","spring.start","spring.end","spring.gap.start","spring.gap.end","spring.exposure","summer.start","summer.end","summer.gap.start","summer.gap.end","summer.exposure","total.exposure","honey.bee.abund","richness","total.abundance"
"17","GFH","GFH01",2010,"GFH012010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,5,11,14
"18","GFH","GFH02",2010,"GFH022010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,3,12,53
"19","GFH","GFH03",2010,"GFH032010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,1,26,58
"20","GFH","GFH04",2010,"GFH042010",2010-05-04,2010-05-26,NA,NA,22,2010-08-04,2010-09-15,NA,NA,42,64,5,26,56
"21","GFH","GFH05",2010,"GFH052010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,5,20,62
"22","GFH","GFH06",2010,"GFH062010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,0,10,19
"23","GFH","GFH07",2010,"GFH072010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,6,12,26
"24","GFH","GFH08",2010,"GFH082010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,6,17,30
"25","GFH","GFH09",2010,"GFH092010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,7,14,22
"26","GFH","GFH10",2010,"GFH102010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,4,25,49
"27","GFH","GFH11",2010,"GFH112010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,6,28,69
"28","GFH","GFH12",2010,"GFH122010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,8,21,29
"29","GFH","GFH13",2010,"GFH132010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,23,20,24
"30","GFH","GFH14",2010,"GFH142010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,10,43,110
"31","GFH","GFH15",2010,"GFH152010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,14,27,57
"32","GFH","GFH16",2010,"GFH162010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,9,32,102
"33","HAR","HAR01",2010,"HAR012010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,5,23,39
"34","HAR","HAR02",2010,"HAR022010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,7,22,68
"35","HAR","HAR03",2010,"HAR032010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,11,18,39
"36","HAR","HAR04",2010,"HAR042010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,7,17,35
"37","HAR","HAR05",2010,"HAR052010",2010-05-25,2010-06-08,NA,NA,14,2010-08-03,2010-09-14,NA,NA,42,56,7,29,84
"38","HAR","HAR06",2010,"HAR062010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,32,28,75
"39","HAR","HAR07",2010,"HAR072010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,42,19,68
"40","HAR","HAR08",2010,"HAR082010",2010-05-11,2010-06-08,NA,NA,28,2010-08-17,2010-09-14,NA,NA,28,56,9,12,25
"41","HAR","HAR09",2010,"HAR092010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,26,30,95
"42","HAR","HAR10",2010,"HAR102010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,22,28,121
"43","HAR","HAR11",2010,"HAR112010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,52,27,71
"44","HAR","HAR12",2010,"HAR122010",2010-05-11,2010-06-08,NA,NA,28,2010-08-17,2010-09-14,NA,NA,28,56,24,13,38
"45","HAR","HAR13",2010,"HAR132010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,23,26,38
"46","HAR","HAR14",2010,"HAR142010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,25,24,64
"47","HAR","HAR15",2010,"HAR152010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,37,34,81
"48","HAR","HAR16",2010,"HAR162010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,22,27,75
"49","SIP","SIP01",2010,"SIP012010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-01,NA,NA,28,64,14,18,62
"50","SIP","SIP02",2010,"SIP022010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,1,22,59
"51","SIP","SIP03",2010,"SIP032010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,0,18,32
"52","SIP","SIP05",2010,"SIP052010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,7,13,26
"53","SIP","SIP06",2010,"SIP062010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,5,18,67
"54","SIP","SIP07",2010,"SIP072010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,2,24,51
"55","SIP","SIP08",2010,"SIP082010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,0,22,48
"56","SIP","SIP09",2010,"SIP092010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,1,15,53
"57","SIP","SIP10",2010,"SIP102010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,4,14,41
"58","SIP","SIP11",2010,"SIP112010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,3,9,23
"59","SIP","SIP12",2010,"SIP122010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,4,15,34
"60","SIP","SIP13",2010,"SIP132010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,0,16,35
"61","SIP","SIP14",2010,"SIP142010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,1,18,78
"62","SIP","SIP15",2010,"SIP152010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,1,13,38
"63","SIP","SIP16",2010,"SIP162010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-01,NA,NA,28,64,3,11,30
"64","SST","SST01",2010,"SST012010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,0,30,85
"65","SST","SST02",2010,"SST022010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,3,25,74
"66","SST","SST03",2010,"SST032010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,8,21,38
"67","SST","SST04",2010,"SST042010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,3,21,41
"68","SST","SST05",2010,"SST052010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,12,28,85
"69","SST","SST06",2010,"SST062010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,2,44,269
"70","SST","SST07",2010,"SST072010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,2010-08-16,2010-08-30,28,64,0,24,57
"71","SST","SST08",2010,"SST082010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,1,34,87
"72","SST","SST09",2010,"SST092010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,5,41,352
"73","SST","SST10",2010,"SST102010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,0,31,133
"74","SST","SST11",2010,"SST112010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,2,25,102
"75","SST","SST12",2010,"SST122010",2010-05-17,2010-06-07,NA,NA,21,2010-08-02,2010-09-13,NA,NA,42,63,9,26,59
"76","SST","SST13",2010,"SST132010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,21,46,447
"77","SST","SST14",2010,"SST142010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,1,22,97
"78","SST","SST15",2010,"SST152010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,4,35,161
"79","SST","SST16",2010,"SST162010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,0,25,122
"80","WAN","WAN01",2010,"WAN012010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-08-31,NA,NA,28,64,1,28,80
"81","WAN","WAN02",2010,"WAN022010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-08-31,NA,NA,28,64,0,14,70
"82","WAN","WAN03",2010,"WAN032010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,2010-08-17,2010-08-31,28,64,4,18,32
"83","WAN","WAN04",2010,"WAN042010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-08-31,NA,NA,28,64,0,15,61
"84","WAN","WAN05",2010,"WAN052010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-08-17,NA,NA,14,50,0,13,59
"85","WAN","WAN06",2010,"WAN062010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,0,25,67
"86","WAN","WAN07",2010,"WAN072010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,0,21,32
"87","WAN","WAN08",2010,"WAN082010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-08-31,NA,NA,28,64,0,12,35
"88","WAN","WAN09",2010,"WAN092010",2010-05-03,2010-06-08,NA,NA,36,2010-08-17,2010-09-14,NA,NA,28,64,1,31,225
"89","WAN","WAN10",2010,"WAN102010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,12,19,81
"90","WAN","WAN11",2010,"WAN112010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,0,8,15
"91","WAN","WAN12",2010,"WAN122010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,2,31,90
"92","WAN","WAN13",2010,"WAN132010",2010-05-03,2010-06-08,NA,NA,36,2010-08-17,2010-09-14,NA,NA,28,64,1,6,28
"93","WAN","WAN14",2010,"WAN142010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,3,17,32
"94","WAN","WAN15",2010,"WAN152010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,3,34,77
"95","WAN","WAN16",2010,"WAN162010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,2010-08-17,2010-08-31,28,64,9,37,131
"96","FBG","FBG01",2011,"FBG012011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,14,55,254
"97","FBG","FBG02",2011,"FBG022011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,41,55,182
"98","FBG","FBG03",2011,"FBG032011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,2011-08-15,2011-08-29,28,71,7,22,69
"99","FBG","FBG04",2011,"FBG042011",2011-05-02,2011-06-14,2011-05-16,2011-05-30,29,2011-08-01,2011-09-12,NA,NA,42,71,25,24,119
"100","FBG","FBG05",2011,"FBG052011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,34,58,224
"101","FBG","FBG06",2011,"FBG062011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,25,35,199
"102","FBG","FBG07",2011,"FBG072011",2011-05-02,2011-06-14,NA,NA,43,2011-08-15,2011-09-12,NA,NA,28,71,23,42,208
"103","FBG","FBG08",2011,"FBG082011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,26,32,206
"104","FBG","FBG09",2011,"FBG092011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,33,48,147
"105","FBG","FBG10",2011,"FBG102011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-08-15,NA,NA,14,57,11,35,130
"106","FBG","FBG11",2011,"FBG112011",2011-05-02,2011-06-14,2011-05-16,2011-05-30,29,2011-08-01,2011-08-29,NA,NA,28,57,9,29,94
"107","FBG","FBG12",2011,"FBG122011",2011-05-02,2011-05-30,NA,NA,28,2011-08-01,2011-09-12,NA,NA,42,70,6,12,28
"108","FBG","FBG13",2011,"FBG132011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,61,42,281
"109","FBG","FBG14",2011,"FBG142011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,29,50,330
"110","FBG","FBG15",2011,"FBG152011",2011-05-16,2011-06-14,NA,NA,29,2011-08-01,2011-09-12,NA,NA,42,71,16,24,88
"111","FBG","FBG16",2011,"FBG162011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,21,26,62
"112","GFH","GFH01",2011,"GFH012011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-08-31,NA,NA,28,71,5,9,15
"113","GFH","GFH02",2011,"GFH022011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-08-31,NA,NA,28,71,5,21,70
"114","GFH","GFH03",2011,"GFH032011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,10,26,89
"115","GFH","GFH04",2011,"GFH042011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,14,40,119
"116","GFH","GFH05",2011,"GFH052011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,16,39,99
"117","GFH","GFH06",2011,"GFH062011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,2011-08-17,2011-08-31,28,71,3,15,22
"118","GFH","GFH07",2011,"GFH072011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,12,17,27
"119","GFH","GFH08",2011,"GFH082011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,17,22,35
"120","GFH","GFH09",2011,"GFH092011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,14,14,26
"121","GFH","GFH10",2011,"GFH102011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,11,28,60
"122","GFH","GFH11",2011,"GFH112011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,29,26,61
"123","GFH","GFH12",2011,"GFH122011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,8,29,54
"124","GFH","GFH13",2011,"GFH132011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,22,24,32
"125","GFH","GFH14",2011,"GFH142011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,13,25,53
"126","GFH","GFH15",2011,"GFH152011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,43,26,53
"127","GFH","GFH16",2011,"GFH162011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,47,22,39
"128","HAR","HAR01",2011,"HAR012011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,8,28,57
"129","HAR","HAR02",2011,"HAR022011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-08-30,NA,NA,28,71,7,36,188
"130","HAR","HAR03",2011,"HAR032011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,17,20,40
"131","HAR","HAR04",2011,"HAR042011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,2011-08-16,2011-08-30,28,71,3,17,49
"132","HAR","HAR05",2011,"HAR052011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,22,46,145
"133","HAR","HAR06",2011,"HAR062011",2011-05-03,2011-05-31,NA,NA,28,2011-08-02,2011-09-13,NA,NA,42,70,11,27,51
"134","HAR","HAR07",2011,"HAR072011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,6,16,58
"135","HAR","HAR08",2011,"HAR082011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,10,23,51
"136","HAR","HAR09",2011,"HAR092011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,26,38,100
"137","HAR","HAR10",2011,"HAR102011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,10,39,170
"138","HAR","HAR11",2011,"HAR112011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,18,24,55
"139","HAR","HAR12",2011,"HAR122011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,56,34,122
"140","HAR","HAR13",2011,"HAR132011",2011-05-03,2011-06-15,NA,NA,43,2011-08-16,2011-09-13,NA,NA,28,71,28,28,78
"141","HAR","HAR14",2011,"HAR142011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,28,27,65
"142","HAR","HAR15",2011,"HAR152011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,58,33,81
"143","HAR","HAR16",2011,"HAR162011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,406,45,114
"144","SIP","SIP01",2011,"SIP012011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0,22,61
"145","SIP","SIP02",2011,"SIP022011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0,40,98
"146","SIP","SIP03",2011,"SIP032011",2011-05-18,2011-06-16,NA,NA,29,2011-08-03,2011-09-14,NA,NA,42,71,1,30,64
"147","SIP","SIP05",2011,"SIP052011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-08-31,NA,NA,28,71,0,20,37
"148","SIP","SIP06",2011,"SIP062011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,5,15,32
"149","SIP","SIP07",2011,"SIP072011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-08-31,NA,NA,28,71,1,19,61
"150","SIP","SIP08",2011,"SIP082011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0,22,63
"151","SIP","SIP09",2011,"SIP092011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0,16,67
"152","SIP","SIP10",2011,"SIP102011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-08-31,NA,NA,28,71,5,20,54
"153","SIP","SIP11",2011,"SIP112011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-08-17,NA,NA,14,57,2,18,54
"154","SIP","SIP12",2011,"SIP122011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,8,20,40
"155","SIP","SIP13",2011,"SIP132011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0,25,62
"156","SIP","SIP14",2011,"SIP142011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0,19,56
"157","SIP","SIP15",2011,"SIP152011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,3,25,43
"158","SIP","SIP16",2011,"SIP162011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0,27,115
"159","SST","SST01",2011,"SST012011",2011-05-02,2011-06-14,NA,NA,43,2011-08-15,2011-09-12,NA,NA,28,71,1,30,89
"160","SST","SST02",2011,"SST022011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,1,25,67
"161","SST","SST03",2011,"SST032011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,12,38,177
"162","SST","SST04",2011,"SST042011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-08-29,NA,NA,28,71,5,24,72
"163","SST","SST05",2011,"SST052011",2011-05-02,2011-06-14,NA,NA,43,2011-08-15,2011-09-12,NA,NA,28,71,7,31,103
"164","SST","SST06",2011,"SST062011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,1,21,69
"165","SST","SST07",2011,"SST072011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,1,21,38
"166","SST","SST08",2011,"SST082011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,10,22,54
"167","SST","SST09",2011,"SST092011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,0,27,90
"168","SST","SST10",2011,"SST102011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-08-29,NA,NA,28,71,2,31,136
"169","SST","SST11",2011,"SST112011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-08-29,NA,NA,28,71,2,32,72
"170","SST","SST12",2011,"SST122011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,5,26,92
"171","SST","SST13",2011,"SST132011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,9,36,222
"172","SST","SST14",2011,"SST142011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,2,15,88
"173","SST","SST15",2011,"SST152011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-08-29,NA,NA,28,71,0,21,64
"174","SST","SST16",2011,"SST162011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,2,25,83
"175","WAN","WAN01",2011,"WAN012011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,15,48,193
"176","WAN","WAN02",2011,"WAN022011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,2011-08-16,2011-08-30,28,71,6,20,62
"177","WAN","WAN03",2011,"WAN032011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,2011-08-16,2011-08-30,28,71,9,23,50
"178","WAN","WAN04",2011,"WAN042011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,132,37,127
"179","WAN","WAN05",2011,"WAN052011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-08-30,NA,NA,28,71,1,13,42
"180","WAN","WAN06",2011,"WAN062011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,8,33,116
"181","WAN","WAN07",2011,"WAN072011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,10,27,62
"182","WAN","WAN08",2011,"WAN082011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,40,29,49
"183","WAN","WAN09",2011,"WAN092011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,8,33,120
"184","WAN","WAN10",2011,"WAN102011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,21,30,170
"185","WAN","WAN11",2011,"WAN112011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-08-30,NA,NA,28,71,3,10,14
"186","WAN","WAN12",2011,"WAN122011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,10,25,66
