"","LocTrap","year","season"
"227","GFH03",2011,"spring"
"228","GFH03",2011,"summer"
"229","GFH04",2011,"spring"
"230","GFH04",2011,"summer"
"231","GFH05",2011,"spring"
"232","GFH05",2011,"summer"
"233","GFH06",2011,"spring"
"234","GFH06",2011,"summer"
"235","GFH07",2011,"spring"
"236","GFH07",2011,"summer"
"237","GFH08",2011,"spring"
"238","GFH08",2011,"summer"
"239","GFH09",2011,"spring"
"240","GFH09",2011,"summer"
"241","GFH10",2011,"spring"
"242","GFH10",2011,"summer"
"243","GFH11",2011,"spring"
"244","GFH11",2011,"summer"
"245","GFH12",2011,"spring"
"246","GFH12",2011,"summer"
"247","GFH13",2011,"spring"
"248","GFH13",2011,"summer"
"249","GFH14",2011,"spring"
"250","GFH14",2011,"summer"
"251","GFH15",2011,"spring"
"252","GFH15",2011,"summer"
"253","GFH16",2011,"spring"
"254","GFH16",2011,"summer"
"255","HAR01",2011,"spring"
"256","HAR01",2011,"summer"
"257","HAR02",2011,"spring"
"258","HAR02",2011,"summer"
"259","HAR03",2011,"spring"
"260","HAR03",2011,"summer"
"261","HAR04",2011,"spring"
"262","HAR04",2011,"summer"
"263","HAR05",2011,"spring"
"264","HAR05",2011,"summer"
"265","HAR06",2011,"spring"
"266","HAR06",2011,"summer"
"267","HAR07",2011,"spring"
"268","HAR07",2011,"summer"
"269","HAR08",2011,"spring"
"270","HAR08",2011,"summer"
"271","HAR09",2011,"spring"
"272","HAR09",2011,"summer"
"273","HAR10",2011,"spring"
"274","HAR10",2011,"summer"
"275","HAR11",2011,"spring"
"276","HAR11",2011,"summer"
"277","HAR12",2011,"spring"
"278","HAR12",2011,"summer"
"279","HAR13",2011,"spring"
"280","HAR13",2011,"summer"
"281","HAR14",2011,"spring"
"282","HAR14",2011,"summer"
"283","HAR15",2011,"spring"
"284","HAR15",2011,"summer"
"285","HAR16",2011,"spring"
"286","HAR16",2011,"summer"
"287","SIP01",2011,"spring"
"288","SIP01",2011,"summer"
"289","SIP02",2011,"spring"
"290","SIP02",2011,"summer"
"291","SIP03",2011,"spring"
"292","SIP03",2011,"summer"
"293","SIP05",2011,"spring"
"294","SIP05",2011,"summer"
"295","SIP06",2011,"spring"
"296","SIP06",2011,"summer"
"297","SIP07",2011,"spring"
"298","SIP07",2011,"summer"
"299","SIP08",2011,"spring"
"300","SIP08",2011,"summer"
"301","SIP09",2011,"spring"
"302","SIP09",2011,"summer"
"303","SIP10",2011,"spring"
"304","SIP10",2011,"summer"
"305","SIP11",2011,"spring"
"306","SIP11",2011,"summer"
"307","SIP12",2011,"spring"
"308","SIP12",2011,"summer"
"309","SIP13",2011,"spring"
"310","SIP13",2011,"summer"
"311","SIP14",2011,"spring"
"312","SIP14",2011,"summer"
"313","SIP15",2011,"spring"
"314","SIP15",2011,"summer"
"315","SIP16",2011,"spring"
"316","SIP16",2011,"summer"
"317","SST01",2011,"spring"
"318","SST01",2011,"summer"
"319","SST02",2011,"spring"
"320","SST02",2011,"summer"
"321","SST03",2011,"spring"
"322","SST03",2011,"summer"
"323","SST04",2011,"spring"
"324","SST04",2011,"summer"
"325","SST05",2011,"spring"
"326","SST05",2011,"summer"
"327","SST06",2011,"spring"
"328","SST06",2011,"summer"
"329","SST07",2011,"spring"
"330","SST07",2011,"summer"
"331","SST08",2011,"spring"
"332","SST08",2011,"summer"
"333","SST09",2011,"spring"
"334","SST09",2011,"summer"
"335","SST10",2011,"spring"
"336","SST10",2011,"summer"
"337","SST11",2011,"spring"
"338","SST11",2011,"summer"
"339","SST12",2011,"spring"
"340","SST12",2011,"summer"
"341","SST13",2011,"spring"
"342","SST13",2011,"summer"
"343","SST14",2011,"spring"
"344","SST14",2011,"summer"
"345","SST15",2011,"spring"
"346","SST15",2011,"summer"
"347","SST16",2011,"spring"
"348","SST16",2011,"summer"
"349","WAN01",2011,"spring"
"350","WAN01",2011,"summer"
"351","WAN02",2011,"spring"
"352","WAN02",2011,"summer"
"353","WAN03",2011,"spring"
"354","WAN03",2011,"summer"
"355","WAN04",2011,"spring"
"356","WAN04",2011,"summer"
"357","WAN05",2011,"spring"
"358","WAN05",2011,"summer"
"359","WAN06",2011,"spring"
"360","WAN06",2011,"summer"
"361","WAN07",2011,"spring"
"362","WAN07",2011,"summer"
"363","WAN08",2011,"spring"
"364","WAN08",2011,"summer"
"365","WAN09",2011,"spring"
"366","WAN09",2011,"summer"
"367","WAN10",2011,"spring"
"368","WAN10",2011,"summer"
"369","WAN11",2011,"spring"
"370","WAN11",2011,"summer"
"371","WAN12",2011,"spring"
"372","WAN12",2011,"summer"
"373","WAN13",2011,"spring"
"374","WAN13",2011,"summer"
"375","WAN14",2011,"spring"
"376","WAN14",2011,"summer"
"377","WAN15",2011,"spring"
"378","WAN15",2011,"summer"
"379","WAN16",2011,"spring"
"380","WAN16",2011,"summer"
"381","FBG01",2012,"spring"
"382","FBG01",2012,"summer"
"383","FBG02",2012,"spring"
"384","FBG02",2012,"summer"
"385","FBG03",2012,"spring"
"386","FBG03",2012,"summer"
"387","FBG04",2012,"spring"
"388","FBG04",2012,"summer"
"389","FBG05",2012,"spring"
"390","FBG05",2012,"summer"
"391","FBG06",2012,"spring"
"392","FBG06",2012,"summer"
"393","FBG07",2012,"spring"
"394","FBG07",2012,"summer"
"395","FBG08",2012,"spring"
"396","FBG08",2012,"summer"
"397","FBG09",2012,"spring"
"398","FBG09",2012,"summer"
"399","FBG10",2012,"spring"
"400","FBG10",2012,"summer"
"401","FBG11",2012,"spring"
"402","FBG11",2012,"summer"
"403","FBG12",2012,"spring"
"404","FBG12",2012,"summer"
"405","FBG13",2012,"spring"
"406","FBG13",2012,"summer"
"407","FBG14",2012,"spring"
"408","FBG14",2012,"summer"
"409","FBG15",2012,"spring"
"410","FBG15",2012,"summer"
"411","FBG16",2012,"spring"
"412","FBG16",2012,"summer"
"413","GFH01",2012,"spring"
"414","GFH01",2012,"summer"
"415","GFH02",2012,"spring"
"416","GFH02",2012,"summer"
"417","GFH03",2012,"spring"
"418","GFH03",2012,"summer"
"419","GFH04",2012,"spring"
"420","GFH04",2012,"summer"
"421","GFH05",2012,"spring"
"422","GFH05",2012,"summer"
"423","GFH06",2012,"spring"
"424","GFH06",2012,"summer"
"425","GFH07",2012,"spring"
"426","GFH07",2012,"summer"
"427","GFH08",2012,"spring"
"428","GFH08",2012,"summer"
"429","GFH09",2012,"spring"
"430","GFH09",2012,"summer"
"431","GFH10",2012,"spring"
"432","GFH10",2012,"summer"
"433","GFH11",2012,"spring"
"434","GFH11",2012,"summer"
"435","GFH12",2012,"spring"
"436","GFH12",2012,"summer"
"437","GFH13",2012,"spring"
"438","GFH13",2012,"summer"
"439","GFH14",2012,"spring"
"440","GFH14",2012,"summer"
"441","GFH15",2012,"spring"
"442","GFH15",2012,"summer"
"443","GFH16",2012,"spring"
"444","GFH16",2012,"summer"
"445","HAR01",2012,"spring"
"446","HAR01",2012,"summer"
"447","HAR02",2012,"spring"
"448","HAR02",2012,"summer"
"449","HAR03",2012,"spring"
"450","HAR03",2012,"summer"
"451","HAR04",2012,"spring"
"452","HAR04",2012,"summer"
"453","HAR05",2012,"spring"
"454","HAR05",2012,"summer"
"455","HAR06",2012,"spring"
"456","HAR06",2012,"summer"
"457","HAR07",2012,"spring"
"458","HAR07",2012,"summer"
"459","HAR08",2012,"spring"
"460","HAR08",2012,"summer"
"461","HAR09",2012,"spring"
"462","HAR09",2012,"summer"
"463","HAR10",2012,"spring"
"464","HAR10",2012,"summer"
"465","HAR11",2012,"spring"
"466","HAR11",2012,"summer"
"467","HAR12",2012,"spring"
"468","HAR12",2012,"summer"
"469","HAR13",2012,"spring"
"470","HAR13",2012,"summer"
"471","HAR14",2012,"spring"
"472","HAR14",2012,"summer"
"473","HAR15",2012,"spring"
"474","HAR15",2012,"summer"
"475","HAR16",2012,"spring"
"476","HAR16",2012,"summer"
"477","SIP01",2012,"spring"
"478","SIP01",2012,"summer"
"479","SIP02",2012,"spring"
"480","SIP02",2012,"summer"
"481","SIP03",2012,"spring"
"482","SIP03",2012,"summer"
"483","SIP05",2012,"spring"
"484","SIP05",2012,"summer"
"485","SIP06",2012,"spring"
"486","SIP06",2012,"summer"
"487","SIP07",2012,"spring"
"488","SIP07",2012,"summer"
"489","SIP08",2012,"spring"
"490","SIP08",2012,"summer"
"491","SIP09",2012,"spring"
"492","SIP09",2012,"summer"
"493","SIP10",2012,"spring"
"494","SIP10",2012,"summer"
"495","SIP11",2012,"spring"
"496","SIP11",2012,"summer"
"497","SIP12",2012,"spring"
"498","SIP12",2012,"summer"
"499","SIP13",2012,"spring"
"500","SIP13",2012,"summer"
"501","SIP14",2012,"spring"
"502","SIP14",2012,"summer"
"503","SIP15",2012,"spring"
"504","SIP15",2012,"summer"
"505","SIP16",2012,"spring"
"506","SIP16",2012,"summer"
"507","SST01",2012,"spring"
"508","SST01",2012,"summer"
"509","SST02",2012,"spring"
"510","SST02",2012,"summer"
"511","SST03",2012,"spring"
"512","SST03",2012,"summer"
"513","SST04",2012,"spring"
"514","SST04",2012,"summer"
"515","SST05",2012,"spring"
"516","SST05",2012,"summer"
"517","SST06",2012,"spring"
"518","SST06",2012,"summer"
"519","SST07",2012,"spring"
"520","SST07",2012,"summer"
"521","SST08",2012,"spring"
"522","SST08",2012,"summer"
"523","SST09",2012,"spring"
"524","SST09",2012,"summer"
"525","SST10",2012,"spring"
"526","SST10",2012,"summer"
"527","SST11",2012,"spring"
"528","SST11",2012,"summer"
"529","SST12",2012,"spring"
"530","SST12",2012,"summer"
"531","SST13",2012,"spring"
"532","SST13",2012,"summer"
"533","SST14",2012,"spring"
"534","SST14",2012,"summer"
"535","SST15",2012,"spring"
"536","SST15",2012,"summer"
"537","SST16",2012,"spring"
"538","SST16",2012,"summer"
"539","WAN01",2012,"spring"
"540","WAN01",2012,"summer"
"541","WAN02",2012,"spring"
"542","WAN02",2012,"summer"
"543","WAN03",2012,"spring"
"544","WAN03",2012,"summer"
"545","WAN04",2012,"spring"
"546","WAN04",2012,"summer"
"547","WAN05",2012,"spring"
"548","WAN05",2012,"summer"
"549","WAN06",2012,"spring"
"550","WAN06",2012,"summer"
"551","WAN07",2012,"spring"
"552","WAN07",2012,"summer"
"553","WAN08",2012,"spring"
"554","WAN08",2012,"summer"
"555","WAN09",2012,"spring"
"556","WAN09",2012,"summer"
"557","WAN10",2012,"spring"
"558","WAN10",2012,"summer"
"559","WAN11",2012,"spring"
"560","WAN11",2012,"summer"
"561","WAN12",2012,"spring"
"562","WAN12",2012,"summer"
"563","WAN13",2012,"spring"
"564","WAN13",2012,"summer"
"565","WAN14",2012,"spring"
"566","WAN14",2012,"summer"
"567","WAN15",2012,"spring"
"568","WAN15",2012,"summer"
"569","WAN16",2012,"spring"
"570","WAN16",2012,"summer"
"571","FBG01",2013,"spring"
"572","FBG01",2013,"summer"
"573","FBG02",2013,"spring"
"574","FBG02",2013,"summer"
"575","FBG03",2013,"spring"
"576","FBG03",2013,"summer"
"577","FBG04",2013,"spring"
"578","FBG04",2013,"summer"
"579","FBG05",2013,"spring"
"580","FBG06",2013,"spring"
"581","FBG06",2013,"summer"
"582","FBG07",2013,"spring"
"583","FBG07",2013,"summer"
"584","FBG08",2013,"spring"
"585","FBG08",2013,"summer"
"586","FBG09",2013,"spring"
"587","FBG09",2013,"summer"
"588","FBG10",2013,"spring"
"589","FBG10",2013,"summer"
"590","FBG11",2013,"spring"
"591","FBG11",2013,"summer"
"592","FBG12",2013,"spring"
"593","FBG12",2013,"summer"
"594","FBG13",2013,"spring"
"595","FBG13",2013,"summer"
"596","FBG14",2013,"spring"
"597","FBG14",2013,"summer"
"598","FBG15",2013,"spring"
"599","FBG15",2013,"summer"
"600","FBG16",2013,"spring"
"601","FBG16",2013,"summer"
"602","GFH01",2013,"spring"
"603","GFH01",2013,"summer"
"604","GFH02",2013,"spring"
"605","GFH02",2013,"summer"
"606","GFH03",2013,"spring"
"607","GFH03",2013,"summer"
"608","GFH04",2013,"spring"
"609","GFH04",2013,"summer"
"610","GFH05",2013,"spring"
"611","GFH05",2013,"summer"
"612","GFH06",2013,"spring"
"613","GFH06",2013,"summer"
"614","GFH07",2013,"spring"
"615","GFH07",2013,"summer"
"616","GFH08",2013,"spring"
"617","GFH08",2013,"summer"
"618","GFH09",2013,"spring"
"619","GFH09",2013,"summer"
"620","GFH10",2013,"spring"
"621","GFH10",2013,"summer"
"622","GFH11",2013,"spring"
"623","GFH11",2013,"summer"
"624","GFH12",2013,"spring"
"625","GFH12",2013,"summer"
"626","GFH13",2013,"spring"
"627","GFH13",2013,"summer"
"628","GFH14",2013,"spring"
"629","GFH14",2013,"summer"
"630","GFH15",2013,"spring"
"631","GFH15",2013,"summer"
"632","GFH16",2013,"spring"
"633","GFH16",2013,"summer"
"634","HAR01",2013,"spring"
"635","HAR01",2013,"summer"
"636","HAR02",2013,"spring"
"637","HAR02",2013,"summer"
"638","HAR03",2013,"spring"
"639","HAR03",2013,"summer"
"640","HAR04",2013,"spring"
"641","HAR04",2013,"summer"
"642","HAR05",2013,"spring"
"643","HAR05",2013,"summer"
"644","HAR06",2013,"spring"
"645","HAR06",2013,"summer"
"646","HAR07",2013,"spring"
"647","HAR07",2013,"summer"
"648","HAR08",2013,"spring"
"649","HAR08",2013,"summer"
"650","HAR09",2013,"spring"
"651","HAR09",2013,"summer"
"652","HAR10",2013,"spring"
"653","HAR10",2013,"summer"
"654","HAR11",2013,"spring"
"655","HAR11",2013,"summer"
"656","HAR12",2013,"spring"
"657","HAR12",2013,"summer"
"658","HAR13",2013,"spring"
"659","HAR13",2013,"summer"
"660","HAR14",2013,"spring"
"661","HAR14",2013,"summer"
"662","HAR15",2013,"spring"
"663","HAR15",2013,"summer"
"664","HAR16",2013,"spring"
"665","HAR16",2013,"summer"
"666","SIP01",2013,"spring"
"667","SIP01",2013,"summer"
"668","SIP02",2013,"spring"
"669","SIP02",2013,"summer"
"670","SIP03",2013,"spring"
"671","SIP03",2013,"summer"
"672","SIP05",2013,"spring"
"673","SIP05",2013,"summer"
"674","SIP06",2013,"spring"
"675","SIP06",2013,"summer"
"676","SIP07",2013,"spring"
"677","SIP07",2013,"summer"
"678","SIP08",2013,"spring"
"679","SIP08",2013,"summer"
"680","SIP09",2013,"spring"
"681","SIP09",2013,"summer"
"682","SIP10",2013,"spring"
"683","SIP10",2013,"summer"
"684","SIP11",2013,"spring"
"685","SIP11",2013,"summer"
"686","SIP12",2013,"spring"
"687","SIP12",2013,"summer"
"688","SIP13",2013,"spring"
"689","SIP13",2013,"summer"
"690","SIP14",2013,"spring"
"691","SIP14",2013,"summer"
"692","SIP15",2013,"spring"
"693","SIP15",2013,"summer"
"694","SIP16",2013,"spring"
"695","SIP16",2013,"summer"
"696","SST01",2013,"spring"
"697","SST01",2013,"summer"
"698","SST02",2013,"spring"
"699","SST02",2013,"summer"
"700","SST03",2013,"spring"
"701","SST03",2013,"summer"
"702","SST04",2013,"spring"
"703","SST04",2013,"summer"
"704","SST05",2013,"spring"
"705","SST05",2013,"summer"
"706","SST06",2013,"spring"
"707","SST06",2013,"summer"
"708","SST07",2013,"spring"
"709","SST07",2013,"summer"
"710","SST08",2013,"spring"
"711","SST08",2013,"summer"
"712","SST09",2013,"spring"
"713","SST09",2013,"summer"
"714","SST10",2013,"spring"
"715","SST10",2013,"summer"
"716","SST11",2013,"spring"
"717","SST11",2013,"summer"
"718","SST12",2013,"spring"
"719","SST12",2013,"summer"
"720","SST13",2013,"spring"
"721","SST13",2013,"summer"
"722","SST14",2013,"spring"
"723","SST14",2013,"summer"
"724","SST15",2013,"spring"
"725","SST15",2013,"summer"
"726","SST16",2013,"spring"
"727","SST16",2013,"summer"
"728","WAN01",2013,"spring"
"729","WAN01",2013,"summer"
"730","WAN02",2013,"spring"
"731","WAN02",2013,"summer"
"732","WAN03",2013,"spring"
"733","WAN03",2013,"summer"
"734","WAN04",2013,"spring"
"735","WAN04",2013,"summer"
"736","WAN05",2013,"spring"
"737","WAN05",2013,"summer"
"738","WAN06",2013,"spring"
"739","WAN06",2013,"summer"
"740","WAN07",2013,"spring"
"741","WAN07",2013,"summer"
"742","WAN08",2013,"spring"
"743","WAN09",2013,"spring"
"744","WAN09",2013,"summer"
"745","WAN10",2013,"spring"
"746","WAN10",2013,"summer"
"747","WAN11",2013,"spring"
"748","WAN11",2013,"summer"
"749","WAN12",2013,"spring"
"750","WAN12",2013,"summer"
"751","WAN13",2013,"spring"
"752","WAN13",2013,"summer"
"753","WAN14",2013,"spring"
"754","WAN14",2013,"summer"
"755","WAN15",2013,"spring"
"756","WAN15",2013,"summer"
"757","WAN16",2013,"spring"
"758","WAN16",2013,"summer"
"759","FBG01",2014,"spring"
"760","FBG01",2014,"summer"
"761","FBG02",2014,"spring"
"762","FBG02",2014,"summer"
"763","FBG03",2014,"spring"
"764","FBG03",2014,"summer"
"765","FBG04",2014,"spring"
"766","FBG04",2014,"summer"
"767","FBG05",2014,"spring"
"768","FBG05",2014,"summer"
"769","FBG06",2014,"spring"
"770","FBG06",2014,"summer"
"771","FBG07",2014,"spring"
"772","FBG07",2014,"summer"
"773","FBG08",2014,"spring"
"774","FBG08",2014,"summer"
"775","FBG09",2014,"spring"
"776","FBG09",2014,"summer"
"777","FBG10",2014,"spring"
"778","FBG10",2014,"summer"
"779","FBG11",2014,"spring"
"780","FBG11",2014,"summer"
"781","FBG12",2014,"spring"
"782","FBG12",2014,"summer"
"783","FBG13",2014,"spring"
"784","FBG13",2014,"summer"
"785","FBG14",2014,"spring"
"786","FBG14",2014,"summer"
"787","FBG15",2014,"spring"
"788","FBG15",2014,"summer"
"789","FBG16",2014,"spring"
"790","FBG16",2014,"summer"
"791","GFH01",2014,"spring"
"792","GFH01",2014,"summer"
"793","GFH02",2014,"spring"
"794","GFH02",2014,"summer"
"795","GFH03",2014,"spring"
"796","GFH03",2014,"summer"
"797","GFH04",2014,"spring"
"798","GFH04",2014,"summer"
"799","GFH05",2014,"spring"
"800","GFH05",2014,"summer"
"801","GFH06",2014,"spring"
"802","GFH06",2014,"summer"
"803","GFH07",2014,"spring"
"804","GFH07",2014,"summer"
"805","GFH08",2014,"spring"
"806","GFH08",2014,"summer"
"807","GFH09",2014,"spring"
"808","GFH09",2014,"summer"
"809","GFH10",2014,"spring"
"810","GFH10",2014,"summer"
"811","GFH11",2014,"spring"
"812","GFH11",2014,"summer"
"813","GFH12",2014,"spring"
"814","GFH12",2014,"summer"
"815","GFH13",2014,"spring"
"816","GFH13",2014,"summer"
"817","GFH14",2014,"spring"
"818","GFH14",2014,"summer"
"819","GFH15",2014,"spring"
"820","GFH15",2014,"summer"
"821","GFH16",2014,"spring"
"822","GFH16",2014,"summer"
"823","HAR01",2014,"spring"
"824","HAR01",2014,"summer"
"825","HAR02",2014,"spring"
"826","HAR02",2014,"summer"
"827","HAR03",2014,"spring"
"828","HAR03",2014,"summer"
"829","HAR04",2014,"spring"
"830","HAR04",2014,"summer"
"831","HAR05",2014,"spring"
"832","HAR05",2014,"summer"
"833","HAR06",2014,"spring"
"834","HAR06",2014,"summer"
"835","HAR07",2014,"spring"
"836","HAR07",2014,"summer"
"837","HAR08",2014,"spring"
"838","HAR08",2014,"summer"
"839","HAR09",2014,"spring"
"840","HAR09",2014,"summer"
"841","HAR10",2014,"spring"
"842","HAR10",2014,"summer"
"843","HAR11",2014,"spring"
"844","HAR11",2014,"summer"
"845","HAR12",2014,"spring"
"846","HAR12",2014,"summer"
"847","HAR13",2014,"spring"
"848","HAR13",2014,"summer"
"849","HAR14",2014,"spring"
"850","HAR14",2014,"summer"
"851","HAR15",2014,"spring"
"852","HAR15",2014,"summer"
"853","HAR16",2014,"spring"
"854","HAR16",2014,"summer"
"855","SIP01",2014,"spring"
"856","SIP01",2014,"summer"
"857","SIP02",2014,"spring"
"858","SIP02",2014,"summer"
"859","SIP03",2014,"spring"
"860","SIP03",2014,"summer"
"861","SIP05",2014,"spring"
"862","SIP05",2014,"summer"
"863","SIP06",2014,"spring"
"864","SIP06",2014,"summer"
"865","SIP07",2014,"spring"
"866","SIP07",2014,"summer"
"867","SIP08",2014,"spring"
"868","SIP08",2014,"summer"
"869","SIP09",2014,"spring"
"870","SIP09",2014,"summer"
"871","SIP10",2014,"spring"
"872","SIP10",2014,"summer"
"873","SIP11",2014,"spring"
"874","SIP11",2014,"summer"
"875","SIP12",2014,"spring"
"876","SIP12",2014,"summer"
"877","SIP13",2014,"spring"
"878","SIP13",2014,"summer"
"879","SIP14",2014,"spring"
"880","SIP14",2014,"summer"
"881","SIP15",2014,"spring"
