"","landscape","site","year","uniqueID","season","StartDate","EndDate","gap.start","gap.end","exposure","season.site.ID","richness","total.abundance"
"43","HAR","HAR11",2010,"HAR112010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR112010_spring",25,69
"44","HAR","HAR12",2010,"HAR122010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR122010_spring",11,36
"45","HAR","HAR13",2010,"HAR132010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR132010_spring",12,17
"46","HAR","HAR14",2010,"HAR142010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR142010_spring",15,41
"47","HAR","HAR15",2010,"HAR152010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR152010_spring",22,61
"48","HAR","HAR16",2010,"HAR162010","spring",2010-05-11,2010-06-08,NA,NA,28,"HAR162010_spring",21,58
"49","SIP","SIP01",2010,"SIP012010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP012010_spring",15,54
"50","SIP","SIP02",2010,"SIP022010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP022010_spring",13,34
"51","SIP","SIP03",2010,"SIP032010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP032010_spring",10,15
"52","SIP","SIP05",2010,"SIP052010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP052010_spring",10,20
"53","SIP","SIP06",2010,"SIP062010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP062010_spring",13,53
"54","SIP","SIP07",2010,"SIP072010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP072010_spring",16,28
"55","SIP","SIP08",2010,"SIP082010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP082010_spring",11,21
"56","SIP","SIP09",2010,"SIP092010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP092010_spring",9,14
"57","SIP","SIP10",2010,"SIP102010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP102010_spring",5,20
"58","SIP","SIP11",2010,"SIP112010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP112010_spring",6,18
"59","SIP","SIP12",2010,"SIP122010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP122010_spring",9,16
"60","SIP","SIP13",2010,"SIP132010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP132010_spring",14,22
"61","SIP","SIP14",2010,"SIP142010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP142010_spring",12,31
"62","SIP","SIP15",2010,"SIP152010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP152010_spring",10,21
"63","SIP","SIP16",2010,"SIP162010","spring",2010-05-04,2010-06-09,NA,NA,36,"SIP162010_spring",6,9
"64","SST","SST01",2010,"SST012010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST012010_spring",25,71
"65","SST","SST02",2010,"SST022010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST022010_spring",17,55
"66","SST","SST03",2010,"SST032010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST032010_spring",17,31
"67","SST","SST04",2010,"SST042010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST042010_spring",16,32
"68","SST","SST05",2010,"SST052010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST052010_spring",23,75
"69","SST","SST06",2010,"SST062010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST062010_spring",40,255
"70","SST","SST07",2010,"SST072010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST072010_spring",21,53
"71","SST","SST08",2010,"SST082010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST082010_spring",30,79
"72","SST","SST09",2010,"SST092010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST092010_spring",36,342
"73","SST","SST10",2010,"SST102010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST102010_spring",25,122
"74","SST","SST11",2010,"SST112010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST112010_spring",17,91
"75","SST","SST12",2010,"SST122010","spring",2010-05-17,2010-06-07,NA,NA,21,"SST122010_spring",17,39
"76","SST","SST13",2010,"SST132010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST132010_spring",43,439
"77","SST","SST14",2010,"SST142010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST142010_spring",15,85
"78","SST","SST15",2010,"SST152010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST152010_spring",30,146
"79","SST","SST16",2010,"SST162010","spring",2010-05-02,2010-06-07,NA,NA,36,"SST162010_spring",22,114
"80","WAN","WAN01",2010,"WAN012010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN012010_spring",19,54
"81","WAN","WAN02",2010,"WAN022010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN022010_spring",13,66
"82","WAN","WAN03",2010,"WAN032010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN032010_spring",15,29
"83","WAN","WAN04",2010,"WAN042010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN042010_spring",14,54
"84","WAN","WAN05",2010,"WAN052010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN052010_spring",9,53
"85","WAN","WAN06",2010,"WAN062010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN062010_spring",19,57
"86","WAN","WAN07",2010,"WAN072010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN072010_spring",17,23
"87","WAN","WAN08",2010,"WAN082010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN082010_spring",11,33
"88","WAN","WAN09",2010,"WAN092010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN092010_spring",30,211
"89","WAN","WAN10",2010,"WAN102010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN102010_spring",11,52
"90","WAN","WAN11",2010,"WAN112010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN112010_spring",3,7
"91","WAN","WAN12",2010,"WAN122010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN122010_spring",26,73
"92","WAN","WAN13",2010,"WAN132010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN132010_spring",5,27
"93","WAN","WAN14",2010,"WAN142010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN142010_spring",12,27
"94","WAN","WAN15",2010,"WAN152010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN152010_spring",24,54
"95","WAN","WAN16",2010,"WAN162010","spring",2010-05-03,2010-06-08,NA,NA,36,"WAN162010_spring",36,123
"96","FBG","FBG01",2011,"FBG012011","spring",2011-05-02,2011-06-14,NA,NA,43,"FBG012011_spring",45,127
"97","FBG","FBG02",2011,"FBG022011","spring",2011-05-02,2011-06-14,NA,NA,43,"FBG022011_spring",49,161
"98","FBG","FBG03",2011,"FBG032011","spring",2011-05-02,2011-06-14,NA,NA,43,"FBG032011_spring",17,53
"99","FBG","FBG04",2011,"FBG042011","spring",2011-05-02,2011-06-14,2011-05-16,2011-05-30,29,"FBG042011_spring",20,79
"100","FBG","FBG05",2011,"FBG052011","spring",2011-05-02,2011-06-14,NA,NA,43,"FBG052011_spring",48,144
"101","FBG","FBG06",2011,"FBG062011","spring",2011-05-02,2011-06-14,NA,NA,43,"FBG062011_spring",30,111
"102","FBG","FBG07",2011,"FBG072011","spring",2011-05-02,2011-06-14,NA,NA,43,"FBG072011_spring",35,174
"103","FBG","FBG08",2011,"FBG082011","spring",2011-05-02,2011-06-14,NA,NA,43,"FBG082011_spring",25,116
"104","FBG","FBG09",2011,"FBG092011","spring",2011-05-02,2011-06-14,NA,NA,43,"FBG092011_spring",41,116
"105","FBG","FBG10",2011,"FBG102011","spring",2011-05-02,2011-06-14,NA,NA,43,"FBG102011_spring",27,92
"106","FBG","FBG11",2011,"FBG112011","spring",2011-05-02,2011-06-14,2011-05-16,2011-05-30,29,"FBG112011_spring",21,71
"107","FBG","FBG12",2011,"FBG122011","spring",2011-05-02,2011-05-30,NA,NA,28,"FBG122011_spring",7,16
"108","FBG","FBG13",2011,"FBG132011","spring",2011-05-02,2011-06-14,NA,NA,43,"FBG132011_spring",32,205
"109","FBG","FBG14",2011,"FBG142011","spring",2011-05-02,2011-06-14,NA,NA,43,"FBG142011_spring",38,144
"110","FBG","FBG15",2011,"FBG152011","spring",2011-05-16,2011-06-14,NA,NA,29,"FBG152011_spring",18,67
"111","FBG","FBG16",2011,"FBG162011","spring",2011-05-02,2011-06-14,NA,NA,43,"FBG162011_spring",19,40
"112","GFH","GFH01",2011,"GFH012011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH012011_spring",8,12
"113","GFH","GFH02",2011,"GFH022011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH022011_spring",17,63
"114","GFH","GFH03",2011,"GFH032011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH032011_spring",23,80
"115","GFH","GFH04",2011,"GFH042011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH042011_spring",27,79
"116","GFH","GFH05",2011,"GFH052011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH052011_spring",29,64
"117","GFH","GFH06",2011,"GFH062011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH062011_spring",11,13
"118","GFH","GFH07",2011,"GFH072011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH072011_spring",16,21
"119","GFH","GFH08",2011,"GFH082011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH082011_spring",19,29
"120","GFH","GFH09",2011,"GFH092011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH092011_spring",12,20
"121","GFH","GFH10",2011,"GFH102011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH102011_spring",18,30
"122","GFH","GFH11",2011,"GFH112011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH112011_spring",22,47
"123","GFH","GFH12",2011,"GFH122011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH122011_spring",20,30
"124","GFH","GFH13",2011,"GFH132011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH132011_spring",16,23
"125","GFH","GFH14",2011,"GFH142011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH142011_spring",14,24
"126","GFH","GFH15",2011,"GFH152011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH152011_spring",19,38
"127","GFH","GFH16",2011,"GFH162011","spring",2011-05-04,2011-06-16,NA,NA,43,"GFH162011_spring",17,29
"128","HAR","HAR01",2011,"HAR012011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR012011_spring",23,48
"129","HAR","HAR02",2011,"HAR022011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR022011_spring",34,184
"130","HAR","HAR03",2011,"HAR032011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR032011_spring",17,35
"131","HAR","HAR04",2011,"HAR042011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR042011_spring",16,46
"132","HAR","HAR05",2011,"HAR052011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR052011_spring",34,91
"133","HAR","HAR06",2011,"HAR062011","spring",2011-05-03,2011-05-31,NA,NA,28,"HAR062011_spring",15,36
"134","HAR","HAR07",2011,"HAR072011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR072011_spring",10,47
"135","HAR","HAR08",2011,"HAR082011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR082011_spring",20,48
"136","HAR","HAR09",2011,"HAR092011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR092011_spring",30,60
"137","HAR","HAR10",2011,"HAR102011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR102011_spring",36,130
"138","HAR","HAR11",2011,"HAR112011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR112011_spring",22,46
"139","HAR","HAR12",2011,"HAR122011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR122011_spring",24,92
"140","HAR","HAR13",2011,"HAR132011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR132011_spring",23,64
"141","HAR","HAR14",2011,"HAR142011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR142011_spring",19,47
"142","HAR","HAR15",2011,"HAR152011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR152011_spring",20,48
"143","HAR","HAR16",2011,"HAR162011","spring",2011-05-03,2011-06-15,NA,NA,43,"HAR162011_spring",24,66
"144","SIP","SIP01",2011,"SIP012011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP012011_spring",18,51
"145","SIP","SIP02",2011,"SIP022011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP022011_spring",33,79
"146","SIP","SIP03",2011,"SIP032011","spring",2011-05-18,2011-06-16,NA,NA,29,"SIP032011_spring",22,36
"147","SIP","SIP05",2011,"SIP052011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP052011_spring",17,33
"148","SIP","SIP06",2011,"SIP062011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP062011_spring",12,27
"149","SIP","SIP07",2011,"SIP072011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP072011_spring",16,55
"150","SIP","SIP08",2011,"SIP082011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP082011_spring",15,48
"151","SIP","SIP09",2011,"SIP092011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP092011_spring",12,40
"152","SIP","SIP10",2011,"SIP102011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP102011_spring",18,50
"153","SIP","SIP11",2011,"SIP112011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP112011_spring",18,50
"154","SIP","SIP12",2011,"SIP122011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP122011_spring",16,23
"155","SIP","SIP13",2011,"SIP132011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP132011_spring",20,38
"156","SIP","SIP14",2011,"SIP142011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP142011_spring",16,48
"157","SIP","SIP15",2011,"SIP152011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP152011_spring",19,37
"158","SIP","SIP16",2011,"SIP162011","spring",2011-05-04,2011-06-16,NA,NA,43,"SIP162011_spring",22,57
"159","SST","SST01",2011,"SST012011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST012011_spring",23,77
"160","SST","SST02",2011,"SST022011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST022011_spring",20,39
"161","SST","SST03",2011,"SST032011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST032011_spring",34,165
"162","SST","SST04",2011,"SST042011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST042011_spring",21,63
"163","SST","SST05",2011,"SST052011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST052011_spring",27,69
"164","SST","SST06",2011,"SST062011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST062011_spring",19,58
"165","SST","SST07",2011,"SST072011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST072011_spring",18,30
"166","SST","SST08",2011,"SST082011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST082011_spring",19,49
"167","SST","SST09",2011,"SST092011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST092011_spring",25,83
"168","SST","SST10",2011,"SST102011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST102011_spring",27,122
"169","SST","SST11",2011,"SST112011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST112011_spring",25,59
"170","SST","SST12",2011,"SST122011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST122011_spring",23,66
"171","SST","SST13",2011,"SST132011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST132011_spring",28,124
"172","SST","SST14",2011,"SST142011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST142011_spring",12,80
"173","SST","SST15",2011,"SST152011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST152011_spring",20,60
"174","SST","SST16",2011,"SST162011","spring",2011-05-02,2011-06-14,NA,NA,43,"SST162011_spring",13,50
"175","WAN","WAN01",2011,"WAN012011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN012011_spring",29,94
"176","WAN","WAN02",2011,"WAN022011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN022011_spring",17,55
"177","WAN","WAN03",2011,"WAN032011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN032011_spring",19,44
"178","WAN","WAN04",2011,"WAN042011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN042011_spring",29,88
"179","WAN","WAN05",2011,"WAN052011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN052011_spring",11,31
"180","WAN","WAN06",2011,"WAN062011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN062011_spring",16,22
"181","WAN","WAN07",2011,"WAN072011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN072011_spring",25,51
"182","WAN","WAN08",2011,"WAN082011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN082011_spring",25,41
"183","WAN","WAN09",2011,"WAN092011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN092011_spring",28,107
"184","WAN","WAN10",2011,"WAN102011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN102011_spring",17,27
"185","WAN","WAN11",2011,"WAN112011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN112011_spring",7,10
"186","WAN","WAN12",2011,"WAN122011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN122011_spring",11,26
"187","WAN","WAN13",2011,"WAN132011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN132011_spring",12,17
"188","WAN","WAN14",2011,"WAN142011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN142011_spring",10,27
"189","WAN","WAN15",2011,"WAN152011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN152011_spring",18,44
"190","WAN","WAN16",2011,"WAN162011","spring",2011-05-03,2011-06-15,NA,NA,43,"WAN162011_spring",30,52
"191","FBG","FBG01",2012,"FBG012012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG012012_spring",53,193
"192","FBG","FBG02",2012,"FBG022012","spring",2012-05-02,2012-06-12,2012-05-15,2012-05-29,27,"FBG022012_spring",22,53
"193","FBG","FBG03",2012,"FBG032012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG032012_spring",17,49
"194","FBG","FBG04",2012,"FBG042012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG042012_spring",27,82
"195","FBG","FBG05",2012,"FBG052012","spring",2012-05-02,2012-05-29,NA,NA,27,"FBG052012_spring",30,91
"196","FBG","FBG06",2012,"FBG062012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG062012_spring",39,146
"197","FBG","FBG07",2012,"FBG072012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG072012_spring",40,156
"198","FBG","FBG08",2012,"FBG082012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG082012_spring",19,47
"199","FBG","FBG09",2012,"FBG092012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG092012_spring",34,93
"200","FBG","FBG10",2012,"FBG102012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG102012_spring",40,153
"201","FBG","FBG11",2012,"FBG112012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG112012_spring",26,44
"202","FBG","FBG12",2012,"FBG122012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG122012_spring",6,11
"203","FBG","FBG13",2012,"FBG132012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG132012_spring",35,115
"204","FBG","FBG14",2012,"FBG142012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG142012_spring",28,92
"205","FBG","FBG15",2012,"FBG152012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG152012_spring",18,79
"206","FBG","FBG16",2012,"FBG162012","spring",2012-05-02,2012-06-12,NA,NA,41,"FBG162012_spring",20,53
"207","GFH","GFH01",2012,"GFH012012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH012012_spring",12,18
"208","GFH","GFH02",2012,"GFH022012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH022012_spring",20,56
"209","GFH","GFH03",2012,"GFH032012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH032012_spring",30,73
"210","GFH","GFH04",2012,"GFH042012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH042012_spring",32,118
"211","GFH","GFH05",2012,"GFH052012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH052012_spring",20,39
"212","GFH","GFH06",2012,"GFH062012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH062012_spring",8,9
"213","GFH","GFH07",2012,"GFH072012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH072012_spring",10,14
"214","GFH","GFH08",2012,"GFH082012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH082012_spring",11,15
"215","GFH","GFH09",2012,"GFH092012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH092012_spring",5,13
"216","GFH","GFH10",2012,"GFH102012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH102012_spring",23,59
"217","GFH","GFH11",2012,"GFH112012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH112012_spring",26,58
"218","GFH","GFH12",2012,"GFH122012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH122012_spring",13,21
"219","GFH","GFH13",2012,"GFH132012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH132012_spring",11,17
"220","GFH","GFH14",2012,"GFH142012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH142012_spring",24,45
"221","GFH","GFH15",2012,"GFH152012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH152012_spring",19,26
"222","GFH","GFH16",2012,"GFH162012","spring",2012-05-04,2012-06-14,NA,NA,41,"GFH162012_spring",26,65
"223","HAR","HAR01",2012,"HAR012012","spring",2012-05-03,2012-06-13,NA,NA,41,"HAR012012_spring",25,58
"224","HAR","HAR02",2012,"HAR022012","spring",2012-05-03,2012-06-13,NA,NA,41,"HAR022012_spring",25,161
"225","HAR","HAR03",2012,"HAR032012","spring",2012-05-03,2012-06-13,NA,NA,41,"HAR032012_spring",27,66
"226","HAR","HAR04",2012,"HAR042012","spring",2012-05-03,2012-06-13,NA,NA,41,"HAR042012_spring",27,93
"227","HAR","HAR05",2012,"HAR052012","spring",2012-05-03,2012-06-13,NA,NA,41,"HAR052012_spring",46,200
"228","HAR","HAR06",2012,"HAR062012","spring",2012-05-03,2012-06-13,NA,NA,41,"HAR062012_spring",36,79
"229","HAR","HAR07",2012,"HAR072012","spring",2012-05-03,2012-06-13,NA,NA,41,"HAR072012_spring",27,90
