"location","site","year","season","abundance","richness","exposure_days"
"SIP","SIP09",2010,"spring",14,3,36
"SIP","SIP10",2010,"spring",22,4,36
"SIP","SIP11",2010,"spring",20,4,36
"SIP","SIP12",2010,"spring",18,3,36
"SIP","SIP13",2010,"spring",22,4,36
"SIP","SIP14",2010,"spring",31,5,36
"SIP","SIP15",2010,"spring",22,4,36
"SIP","SIP16",2010,"spring",10,3,36
"SST","SST01",2010,"spring",71,8,36
"SST","SST02",2010,"spring",55,8,36
"SST","SST03",2010,"spring",31,4,36
"SST","SST04",2010,"spring",32,4,36
"SST","SST05",2010,"spring",75,7,36
"SST","SST06",2010,"spring",255,14,36
"SST","SST07",2010,"spring",53,5,36
"SST","SST08",2010,"spring",79,6,36
"SST","SST09",2010,"spring",342,11,36
"SST","SST10",2010,"spring",122,8,36
"SST","SST11",2010,"spring",91,7,36
"SST","SST12",2010,"spring",40,5,21
"SST","SST13",2010,"spring",440,13,36
"SST","SST14",2010,"spring",85,6,36
"SST","SST15",2010,"spring",148,8,36
"SST","SST16",2010,"spring",114,8,36
"WAN","WAN01",2010,"spring",54,6,36
"WAN","WAN02",2010,"spring",66,5,36
"WAN","WAN03",2010,"spring",29,4,36
"WAN","WAN04",2010,"spring",54,5,36
"WAN","WAN05",2010,"spring",53,5,36
"WAN","WAN06",2010,"spring",57,6,36
"WAN","WAN07",2010,"spring",23,3,36
"WAN","WAN08",2010,"spring",33,4,36
"WAN","WAN09",2010,"spring",212,9,36
"WAN","WAN10",2010,"spring",52,6,36
"WAN","WAN11",2010,"spring",7,3,36
"WAN","WAN12",2010,"spring",74,5,36
"WAN","WAN13",2010,"spring",27,2,36
"WAN","WAN14",2010,"spring",27,4,36
"WAN","WAN15",2010,"spring",55,5,36
"WAN","WAN16",2010,"spring",124,10,36
"FBG","FBG01",2011,"spring",133,9,43
"FBG","FBG02",2011,"spring",181,11,43
"FBG","FBG03",2011,"spring",60,6,43
"FBG","FBG04",2011,"spring",99,7,29
"FBG","FBG05",2011,"spring",148,8,43
"FBG","FBG06",2011,"spring",112,8,43
"FBG","FBG07",2011,"spring",181,12,43
"FBG","FBG08",2011,"spring",129,10,43
"FBG","FBG09",2011,"spring",145,10,43
"FBG","FBG10",2011,"spring",98,6,43
"FBG","FBG11",2011,"spring",74,6,29
"FBG","FBG12",2011,"spring",16,3,28
"FBG","FBG13",2011,"spring",261,12,43
"FBG","FBG14",2011,"spring",163,10,43
"FBG","FBG15",2011,"spring",77,9,29
"FBG","FBG16",2011,"spring",57,7,43
"GFH","GFH01",2011,"spring",16,3,43
"GFH","GFH02",2011,"spring",67,7,43
"GFH","GFH03",2011,"spring",89,8,43
"GFH","GFH04",2011,"spring",84,8,43
"GFH","GFH05",2011,"spring",67,6,43
"GFH","GFH06",2011,"spring",15,2,43
"GFH","GFH07",2011,"spring",28,3,43
"GFH","GFH08",2011,"spring",37,5,43
"GFH","GFH09",2011,"spring",27,4,43
"GFH","GFH10",2011,"spring",35,6,43
"GFH","GFH11",2011,"spring",49,6,43
"GFH","GFH12",2011,"spring",35,4,43
"GFH","GFH13",2011,"spring",30,4,43
"GFH","GFH14",2011,"spring",30,5,43
"GFH","GFH15",2011,"spring",55,6,43
"GFH","GFH16",2011,"spring",54,5,43
"HAR","HAR01",2011,"spring",50,6,43
"HAR","HAR02",2011,"spring",188,9,43
"HAR","HAR03",2011,"spring",42,6,43
"HAR","HAR04",2011,"spring",47,5,43
"HAR","HAR05",2011,"spring",111,8,43
"HAR","HAR06",2011,"spring",44,5,28
"HAR","HAR07",2011,"spring",53,6,43
"HAR","HAR08",2011,"spring",55,6,43
"HAR","HAR09",2011,"spring",78,7,43
"HAR","HAR10",2011,"spring",134,9,43
"HAR","HAR11",2011,"spring",58,7,43
"HAR","HAR12",2011,"spring",107,8,43
"HAR","HAR13",2011,"spring",76,8,43
"HAR","HAR14",2011,"spring",60,6,43
"HAR","HAR15",2011,"spring",71,6,43
"HAR","HAR16",2011,"spring",457,8,43
"SIP","SIP01",2011,"spring",51,7,43
"SIP","SIP02",2011,"spring",79,7,43
"SIP","SIP03",2011,"spring",36,3,29
"SIP","SIP05",2011,"spring",33,4,43
"SIP","SIP06",2011,"spring",28,4,43
"SIP","SIP07",2011,"spring",55,5,43
"SIP","SIP08",2011,"spring",48,6,43
"SIP","SIP09",2011,"spring",40,6,43
"SIP","SIP10",2011,"spring",54,6,43
"SIP","SIP11",2011,"spring",52,7,43
"SIP","SIP12",2011,"spring",23,3,43
"SIP","SIP13",2011,"spring",38,5,43
"SIP","SIP14",2011,"spring",48,6,43
"SIP","SIP15",2011,"spring",38,5,43
"SIP","SIP16",2011,"spring",57,7,43
"SST","SST01",2011,"spring",78,10,43
"SST","SST02",2011,"spring",40,5,43
"SST","SST03",2011,"spring",167,9,43
"SST","SST04",2011,"spring",66,5,43
"SST","SST05",2011,"spring",70,6,43
"SST","SST06",2011,"spring",58,6,43
"SST","SST07",2011,"spring",30,4,43
"SST","SST08",2011,"spring",51,6,43
"SST","SST09",2011,"spring",83,7,43
"SST","SST10",2011,"spring",123,7,43
"SST","SST11",2011,"spring",60,4,43
"SST","SST12",2011,"spring",68,6,43
"SST","SST13",2011,"spring",126,9,43
"SST","SST14",2011,"spring",81,6,43
"SST","SST15",2011,"spring",60,8,43
"SST","SST16",2011,"spring",50,5,43
"WAN","WAN01",2011,"spring",103,8,43
"WAN","WAN02",2011,"spring",60,5,43
"WAN","WAN03",2011,"spring",52,7,43
"WAN","WAN04",2011,"spring",220,9,43
"WAN","WAN05",2011,"spring",32,5,43
"WAN","WAN06",2011,"spring",27,4,43
"WAN","WAN07",2011,"spring",57,5,43
"WAN","WAN08",2011,"spring",79,6,43
"WAN","WAN09",2011,"spring",113,8,43
"WAN","WAN10",2011,"spring",30,4,43
"WAN","WAN11",2011,"spring",11,2,43
"WAN","WAN12",2011,"spring",29,5,43
"WAN","WAN13",2011,"spring",21,3,43
"WAN","WAN14",2011,"spring",28,4,43
"WAN","WAN15",2011,"spring",44,6,43
"WAN","WAN16",2011,"spring",57,5,43
"FBG","FBG01",2012,"spring",196,11,42
"FBG","FBG02",2012,"spring",57,6,27
"FBG","FBG03",2012,"spring",54,6,42
"FBG","FBG04",2012,"spring",129,8,42
"FBG","FBG05",2012,"spring",92,6,28
"FBG","FBG06",2012,"spring",146,11,42
"FBG","FBG07",2012,"spring",167,11,42
"FBG","FBG08",2012,"spring",55,7,42
"FBG","FBG09",2012,"spring",98,7,42
"FBG","FBG10",2012,"spring",156,12,42
"FBG","FBG11",2012,"spring",46,4,42
"FBG","FBG12",2012,"spring",11,3,42
"FBG","FBG13",2012,"spring",127,11,42
"FBG","FBG14",2012,"spring",93,7,42
"FBG","FBG15",2012,"spring",80,9,42
"FBG","FBG16",2012,"spring",61,7,42
"GFH","GFH01",2012,"spring",18,3,42
"GFH","GFH02",2012,"spring",56,7,42
"GFH","GFH03",2012,"spring",73,9,42
"GFH","GFH04",2012,"spring",119,8,42
"GFH","GFH05",2012,"spring",42,5,42
"GFH","GFH06",2012,"spring",9,2,42
"GFH","GFH07",2012,"spring",18,4,42
"GFH","GFH08",2012,"spring",15,2,42
"GFH","GFH09",2012,"spring",16,4,42
"GFH","GFH10",2012,"spring",61,5,42
"GFH","GFH11",2012,"spring",62,8,42
"GFH","GFH12",2012,"spring",22,3,42
"GFH","GFH13",2012,"spring",24,4,42
"GFH","GFH14",2012,"spring",46,5,42
"GFH","GFH15",2012,"spring",28,4,42
"GFH","GFH16",2012,"spring",66,6,42
"HAR","HAR01",2012,"spring",61,5,42
"HAR","HAR02",2012,"spring",165,10,42
"HAR","HAR03",2012,"spring",67,7,42
"HAR","HAR04",2012,"spring",98,8,42
"HAR","HAR05",2012,"spring",228,16,42
"HAR","HAR06",2012,"spring",96,8,42
"HAR","HAR07",2012,"spring",116,8,42
"HAR","HAR08",2012,"spring",27,4,42
"HAR","HAR09",2012,"spring",128,9,42
"HAR","HAR10",2012,"spring",204,12,42
"HAR","HAR11",2012,"spring",293,6,42
"HAR","HAR12",2012,"spring",110,8,42
"HAR","HAR13",2012,"spring",41,5,42
"HAR","HAR14",2012,"spring",92,8,42
"HAR","HAR15",2012,"spring",191,10,42
"HAR","HAR16",2012,"spring",188,9,42
"SIP","SIP01",2012,"spring",40,4,42
"SIP","SIP02",2012,"spring",72,8,42
"SIP","SIP03",2012,"spring",31,5,42
"SIP","SIP05",2012,"spring",43,5,42
"SIP","SIP06",2012,"spring",46,5,42
"SIP","SIP07",2012,"spring",60,8,42
"SIP","SIP08",2012,"spring",39,5,42
"SIP","SIP09",2012,"spring",30,4,42
"SIP","SIP10",2012,"spring",19,4,42
"SIP","SIP11",2012,"spring",50,7,42
"SIP","SIP12",2012,"spring",18,4,42
"SIP","SIP13",2012,"spring",20,3,42
"SIP","SIP14",2012,"spring",25,5,42
"SIP","SIP15",2012,"spring",33,5,42
"SIP","SIP16",2012,"spring",37,6,42
"SST","SST01",2012,"spring",60,6,42
"SST","SST02",2012,"spring",77,6,42
"SST","SST03",2012,"spring",100,8,42
"SST","SST04",2012,"spring",51,7,42
"SST","SST05",2012,"spring",57,6,42
"SST","SST06",2012,"spring",67,5,42
"SST","SST07",2012,"spring",46,4,42
"SST","SST08",2012,"spring",30,5,42
"SST","SST09",2012,"spring",167,10,42
"SST","SST10",2012,"spring",336,11,42
"SST","SST11",2012,"spring",61,7,42
"SST","SST12",2012,"spring",92,9,42
"SST","SST13",2012,"spring",116,6,42
"SST","SST14",2012,"spring",133,9,42
"SST","SST15",2012,"spring",100,7,42
"SST","SST16",2012,"spring",79,7,42
"WAN","WAN01",2012,"spring",232,11,42
"WAN","WAN02",2012,"spring",48,4,42
"WAN","WAN03",2012,"spring",49,6,42
"WAN","WAN04",2012,"spring",130,6,42
"WAN","WAN05",2012,"spring",89,8,42
"WAN","WAN06",2012,"spring",52,6,42
"WAN","WAN07",2012,"spring",43,4,42
"WAN","WAN08",2012,"spring",34,4,42
"WAN","WAN09",2012,"spring",67,6,42
"WAN","WAN10",2012,"spring",100,10,42
"WAN","WAN11",2012,"spring",14,3,42
"WAN","WAN12",2012,"spring",103,9,42
"WAN","WAN13",2012,"spring",252,3,42
"WAN","WAN14",2012,"spring",103,6,42
"WAN","WAN15",2012,"spring",38,4,42
"WAN","WAN16",2012,"spring",39,5,42
"FBG","FBG01",2013,"spring",304,13,42
"FBG","FBG02",2013,"spring",369,17,42
"FBG","FBG03",2013,"spring",58,5,42
"FBG","FBG04",2013,"spring",136,9,42
"FBG","FBG05",2013,"spring",100,8,28
"FBG","FBG06",2013,"spring",118,7,42
"FBG","FBG07",2013,"spring",133,8,42
"FBG","FBG08",2013,"spring",87,7,42
"FBG","FBG09",2013,"spring",174,13,42
"FBG","FBG10",2013,"spring",221,10,42
"FBG","FBG11",2013,"spring",65,7,42
"FBG","FBG12",2013,"spring",41,5,42
"FBG","FBG13",2013,"spring",105,9,42
"FBG","FBG14",2013,"spring",46,4,42
"FBG","FBG15",2013,"spring",28,4,42
"FBG","FBG16",2013,"spring",104,8,42
"GFH","GFH01",2013,"spring",34,5,42
"GFH","GFH02",2013,"spring",113,10,42
"GFH","GFH03",2013,"spring",111,8,42
"GFH","GFH04",2013,"spring",146,11,42
"GFH","GFH05",2013,"spring",80,9,42
"GFH","GFH06",2013,"spring",76,6,42
"GFH","GFH07",2013,"spring",26,5,42
"GFH","GFH08",2013,"spring",27,5,42
"GFH","GFH09",2013,"spring",24,5,42
"GFH","GFH10",2013,"spring",113,11,42
"GFH","GFH11",2013,"spring",156,10,42
"GFH","GFH12",2013,"spring",44,4,42
"GFH","GFH13",2013,"spring",19,3,42
"GFH","GFH14",2013,"spring",110,8,42
"GFH","GFH15",2013,"spring",53,6,42
"GFH","GFH16",2013,"spring",94,8,42
"HAR","HAR01",2013,"spring",110,9,42
"HAR","HAR02",2013,"spring",105,8,42
"HAR","HAR03",2013,"spring",42,3,42
"HAR","HAR04",2013,"spring",87,5,42
"HAR","HAR05",2013,"spring",465,18,42
"HAR","HAR06",2013,"spring",127,9,42
"HAR","HAR07",2013,"spring",58,6,42
"HAR","HAR08",2013,"spring",84,6,42
"HAR","HAR09",2013,"spring",103,8,42
"HAR","HAR10",2013,"spring",146,13,42
"HAR","HAR11",2013,"spring",88,8,42
"HAR","HAR12",2013,"spring",78,7,42
"HAR","HAR13",2013,"spring",24,3,42
"HAR","HAR14",2013,"spring",40,6,42
"HAR","HAR15",2013,"spring",73,8,42
"HAR","HAR16",2013,"spring",122,8,42
"SIP","SIP01",2013,"spring",228,14,42
"SIP","SIP02",2013,"spring",195,12,42
"SIP","SIP03",2013,"spring",111,8,42
"SIP","SIP05",2013,"spring",96,8,42
"SIP","SIP06",2013,"spring",187,11,24
"SIP","SIP07",2013,"spring",248,13,42
"SIP","SIP08",2013,"spring",143,11,42
"SIP","SIP09",2013,"spring",314,12,42
"SIP","SIP10",2013,"spring",96,8,42
"SIP","SIP11",2013,"spring",156,10,42
"SIP","SIP12",2013,"spring",82,7,42
"SIP","SIP13",2013,"spring",192,8,42
"SIP","SIP14",2013,"spring",53,6,42
"SIP","SIP15",2013,"spring",70,5,42
"SIP","SIP16",2013,"spring",190,10,42
"SST","SST01",2013,"spring",263,14,42
"SST","SST02",2013,"spring",138,6,42
"SST","SST03",2013,"spring",177,7,42
"SST","SST04",2013,"spring",60,5,42
"SST","SST05",2013,"spring",159,8,42
"SST","SST06",2013,"spring",348,7,42
"SST","SST07",2013,"spring",58,8,42
"SST","SST08",2013,"spring",111,8,42
"SST","SST09",2013,"spring",261,9,42
"SST","SST10",2013,"spring",171,9,42
"SST","SST11",2013,"spring",100,8,42
"SST","SST12",2013,"spring",148,8,42
"SST","SST13",2013,"spring",451,9,42
"SST","SST14",2013,"spring",179,7,42
"SST","SST15",2013,"spring",108,6,42
"SST","SST16",2013,"spring",141,6,42
"WAN","WAN01",2013,"spring",186,9,42
"WAN","WAN02",2013,"spring",133,7,42
"WAN","WAN03",2013,"spring",47,6,42
"WAN","WAN04",2013,"spring",134,9,42
"WAN","WAN05",2013,"spring",149,9,42
"WAN","WAN06",2013,"spring",33,5,42
"WAN","WAN07",2013,"spring",23,3,42
"WAN","WAN08",2013,"spring",46,4,42
"WAN","WAN09",2013,"spring",60,6,42
"WAN","WAN10",2013,"spring",61,7,42
"WAN","WAN11",2013,"spring",22,3,28
"WAN","WAN12",2013,"spring",120,9,42
"WAN","WAN13",2013,"spring",360,7,42
"WAN","WAN14",2013,"spring",106,7,42
"WAN","WAN15",2013,"spring",42,5,42
"WAN","WAN16",2013,"spring",93,8,42
"FBG","FBG01",2014,"spring",77,7,42
"FBG","FBG02",2014,"spring",161,10,42
"FBG","FBG03",2014,"spring",60,4,42
"FBG","FBG04",2014,"spring",51,5,42
"FBG","FBG05",2014,"spring",57,6,42
"FBG","FBG06",2014,"spring",73,7,42
"FBG","FBG07",2014,"spring",99,6,42
"FBG","FBG08",2014,"spring",38,5,42
"FBG","FBG09",2014,"spring",209,11,42
"FBG","FBG10",2014,"spring",73,7,42
"FBG","FBG11",2014,"spring",82,9,42
"FBG","FBG12",2014,"spring",77,6,42
"FBG","FBG13",2014,"spring",116,8,42
"FBG","FBG14",2014,"spring",81,8,42
"FBG","FBG15",2014,"spring",79,7,42
"FBG","FBG16",2014,"spring",29,4,42
"GFH","GFH01",2014,"spring",35,4,42
"GFH","GFH02",2014,"spring",71,8,42
"GFH","GFH03",2014,"spring",90,7,42
"GFH","GFH04",2014,"spring",32,6,42
"GFH","GFH05",2014,"spring",43,5,42
"GFH","GFH06",2014,"spring",25,4,42
"GFH","GFH07",2014,"spring",41,5,42
"GFH","GFH08",2014,"spring",14,3,42
"GFH","GFH09",2014,"spring",15,3,42
"GFH","GFH10",2014,"spring",79,9,42
"GFH","GFH11",2014,"spring",26,4,42
"GFH","GFH12",2014,"spring",21,3,42
"GFH","GFH13",2014,"spring",29,3,42
"GFH","GFH14",2014,"spring",63,6,42
"GFH","GFH15",2014,"spring",38,4,42
"GFH","GFH16",2014,"spring",136,9,42
"HAR","HAR01",2014,"spring",125,7,42
"HAR","HAR02",2014,"spring",124,11,42
"HAR","HAR03",2014,"spring",55,6,42
"HAR","HAR04",2014,"spring",29,4,42
"HAR","HAR05",2014,"spring",120,9,42
"HAR","HAR06",2014,"spring",77,6,42
"HAR","HAR07",2014,"spring",102,7,42
"HAR","HAR08",2014,"spring",138,5,42
"HAR","HAR09",2014,"spring",96,9,42
"HAR","HAR10",2014,"spring",110,9,42
"HAR","HAR11",2014,"spring",39,6,42
"HAR","HAR12",2014,"spring",129,7,42
"HAR","HAR13",2014,"spring",70,7,42
"HAR","HAR14",2014,"spring",69,8,42
"HAR","HAR15",2014,"spring",44,6,42
"HAR","HAR16",2014,"spring",446,10,42
"SIP","SIP01",2014,"spring",69,7,42
"SIP","SIP02",2014,"spring",131,10,42
"SIP","SIP03",2014,"spring",69,9,42
"SIP","SIP05",2014,"spring",33,5,42
"SIP","SIP06",2014,"spring",43,6,42
"SIP","SIP07",2014,"spring",21,3,42
"SIP","SIP08",2014,"spring",54,7,42
"SIP","SIP09",2014,"spring",37,7,42
"SIP","SIP10",2014,"spring",41,6,42
"SIP","SIP11",2014,"spring",27,5,42
"SIP","SIP12",2014,"spring",45,4,42
"SIP","SIP13",2014,"spring",29,4,42
"SIP","SIP14",2014,"spring",56,7,42
"SIP","SIP15",2014,"spring",45,5,42
"SIP","SIP16",2014,"spring",21,4,42
"SST","SST01",2014,"spring",95,7,28
"SST","SST02",2014,"spring",80,6,42
"SST","SST03",2014,"spring",30,5,42
"SST","SST04",2014,"spring",52,6,42
"SST","SST05",2014,"spring",94,7,42
"SST","SST06",2014,"spring",52,6,42
"SST","SST07",2014,"spring",31,4,42
"SST","SST08",2014,"spring",58,5,42
"SST","SST09",2014,"spring",35,5,42
"SST","SST10",2014,"spring",139,7,42
"SST","SST11",2014,"spring",76,7,42
"SST","SST12",2014,"spring",39,5,42
"SST","SST13",2014,"spring",97,7,42
"SST","SST14",2014,"spring",122,7,42
"SST","SST15",2014,"spring",75,7,42
"SST","SST16",2014,"spring",41,6,42
"WAN","WAN01",2014,"spring",154,8,42
"WAN","WAN02",2014,"spring",78,7,42
"WAN","WAN03",2014,"spring",34,5,42
"WAN","WAN04",2014,"spring",63,5,42
"WAN","WAN05",2014,"spring",61,5,42
"WAN","WAN06",2014,"spring",27,4,42
"WAN","WAN07",2014,"spring",24,5,42
"WAN","WAN08",2014,"spring",52,5,42
"WAN","WAN09",2014,"spring",98,9,42
"WAN","WAN10",2014,"spring",50,5,42
"WAN","WAN11",2014,"spring",18,4,28
"WAN","WAN12",2014,"spring",90,9,42
"WAN","WAN13",2014,"spring",120,6,42
"WAN","WAN14",2014,"spring",47,5,42
"WAN","WAN15",2014,"spring",43,7,42
"WAN","WAN16",2014,"spring",30,4,42
"FBG","FBG01",2015,"spring",64,6,42
"FBG","FBG02",2015,"spring",68,6,28
"FBG","FBG03",2015,"spring",87,7,42
"FBG","FBG04",2015,"spring",492,8,42
"FBG","FBG05",2015,"spring",206,7,42
"FBG","FBG06",2015,"spring",162,8,42
"FBG","FBG07",2015,"spring",93,6,42
"FBG","FBG08",2015,"spring",18,3,42
"FBG","FBG09",2015,"spring",188,12,42
"FBG","FBG10",2015,"spring",232,6,42
"FBG","FBG11",2015,"spring",76,7,42
"FBG","FBG12",2015,"spring",61,6,42
"FBG","FBG13",2015,"spring",237,11,42
"FBG","FBG14",2015,"spring",58,5,42
"FBG","FBG15",2015,"spring",56,6,42
"FBG","FBG16",2015,"spring",45,5,42
"GFH","GFH01",2015,"spring",21,4,43
"GFH","GFH02",2015,"spring",140,7,43
"GFH","GFH03",2015,"spring",119,6,43
"GFH","GFH04",2015,"spring",75,8,43
"GFH","GFH05",2015,"spring",68,7,43
"GFH","GFH06",2015,"spring",20,3,43
"GFH","GFH07",2015,"spring",9,3,28
"GFH","GFH08",2015,"spring",5,2,43
"GFH","GFH09",2015,"spring",25,4,43
"GFH","GFH10",2015,"spring",55,5,43
"GFH","GFH11",2015,"spring",106,10,43
"GFH","GFH12",2015,"spring",26,4,43
"GFH","GFH13",2015,"spring",14,2,43
"GFH","GFH14",2015,"spring",69,6,43
"GFH","GFH15",2015,"spring",44,5,43
"GFH","GFH16",2015,"spring",24,4,43
"HAR","HAR01",2015,"spring",28,4,27
"HAR","HAR02",2015,"spring",315,10,41
"HAR","HAR03",2015,"spring",32,5,41
"HAR","HAR04",2015,"spring",32,5,41
"HAR","HAR05",2015,"spring",120,9,41
"HAR","HAR06",2015,"spring",338,10,41
"HAR","HAR07",2015,"spring",50,6,41
"HAR","HAR08",2015,"spring",63,5,41
"HAR","HAR09",2015,"spring",64,7,41
"HAR","HAR10",2015,"spring",36,5,27
"HAR","HAR11",2015,"spring",77,5,41
"HAR","HAR12",2015,"spring",71,5,41
"HAR","HAR13",2015,"spring",35,5,41
"HAR","HAR14",2015,"spring",64,7,41
"HAR","HAR15",2015,"spring",86,8,41
"HAR","HAR16",2015,"spring",139,9,41
"SIP","SIP01",2015,"spring",135,9,43
"SIP","SIP02",2015,"spring",101,9,29
"SIP","SIP03",2015,"spring",66,7,43
"SIP","SIP05",2015,"spring",57,7,29
"SIP","SIP06",2015,"spring",144,11,43
"SIP","SIP07",2015,"spring",155,9,43
"SIP","SIP08",2015,"spring",196,11,43
"SIP","SIP09",2015,"spring",258,12,43
"SIP","SIP10",2015,"spring",43,5,43
"SIP","SIP11",2015,"spring",77,5,43
"SIP","SIP12",2015,"spring",69,5,43
"SIP","SIP13",2015,"spring",31,6,43
"SIP","SIP14",2015,"spring",89,7,43
"SIP","SIP15",2015,"spring",109,9,43
"SIP","SIP16",2015,"spring",115,8,43
"SST","SST01",2015,"spring",80,6,42
"SST","SST02",2015,"spring",322,11,42
"SST","SST03",2015,"spring",111,8,42
"SST","SST04",2015,"spring",38,6,42
"SST","SST05",2015,"spring",42,5,42
"SST","SST06",2015,"spring",50,5,42
"SST","SST07",2015,"spring",46,4,42
"SST","SST08",2015,"spring",127,7,42
"SST","SST09",2015,"spring",65,6,42
"SST","SST10",2015,"spring",153,6,42
"SST","SST11",2015,"spring",205,8,42
"SST","SST12",2015,"spring",198,6,42
"SST","SST13",2015,"spring",175,10,42
"SST","SST14",2015,"spring",54,6,42
"SST","SST15",2015,"spring",341,7,42
"SST","SST16",2015,"spring",20,4,28
"WAN","WAN01",2015,"spring",124,8,41
"WAN","WAN02",2015,"spring",94,6,41
"WAN","WAN03",2015,"spring",29,4,41
"WAN","WAN04",2015,"spring",37,5,41
"WAN","WAN05",2015,"spring",27,4,41
"WAN","WAN06",2015,"spring",34,5,41
"WAN","WAN07",2015,"spring",2,1,28
"WAN","WAN08",2015,"spring",29,4,41
"WAN","WAN09",2015,"spring",225,13,41
"WAN","WAN10",2015,"spring",41,4,41
"WAN","WAN11",2015,"spring",23,5,41
"WAN","WAN12",2015,"spring",48,4,41
"WAN","WAN13",2015,"spring",18,4,41
"WAN","WAN14",2015,"spring",22,4,41
"WAN","WAN15",2015,"spring",37,4,41
"WAN","WAN16",2015,"spring",17,2,41
"FBG","FBG01",2016,"spring",103,8,42
"FBG","FBG02",2016,"spring",53,6,28
"FBG","FBG03",2016,"spring",29,3,42
"FBG","FBG04",2016,"spring",142,9,42
"FBG","FBG05",2016,"spring",74,6,42
"FBG","FBG06",2016,"spring",134,9,42
"FBG","FBG07",2016,"spring",58,6,42
"FBG","FBG08",2016,"spring",6,2,28
"FBG","FBG09",2016,"spring",133,8,42
"FBG","FBG10",2016,"spring",119,8,42
"FBG","FBG11",2016,"spring",48,4,42
"FBG","FBG12",2016,"spring",46,5,42
"FBG","FBG13",2016,"spring",131,9,42
"FBG","FBG14",2016,"spring",67,7,42
"FBG","FBG15",2016,"spring",71,7,42
"FBG","FBG16",2016,"spring",38,5,42
"GFH","GFH01",2016,"spring",20,3,42
"GFH","GFH02",2016,"spring",61,6,42
"GFH","GFH03",2016,"spring",86,7,42
"GFH","GFH04",2016,"spring",111,8,42
"GFH","GFH05",2016,"spring",48,7,42
"GFH","GFH06",2016,"spring",11,2,42
"GFH","GFH07",2016,"spring",23,5,42
"GFH","GFH08",2016,"spring",12,2,42
"GFH","GFH09",2016,"spring",11,3,30
"GFH","GFH10",2016,"spring",48,5,42
"GFH","GFH11",2016,"spring",43,5,42
"GFH","GFH12",2016,"spring",44,7,42
"GFH","GFH13",2016,"spring",21,4,42
"GFH","GFH14",2016,"spring",53,6,42
"GFH","GFH15",2016,"spring",37,6,42
"GFH","GFH16",2016,"spring",107,8,42
"HAR","HAR01",2016,"spring",89,7,42
"HAR","HAR02",2016,"spring",63,6,42
"HAR","HAR03",2016,"spring",34,5,42
"HAR","HAR04",2016,"spring",38,5,42
"HAR","HAR05",2016,"spring",172,9,42
"HAR","HAR06",2016,"spring",318,8,42
"HAR","HAR07",2016,"spring",66,6,42
"HAR","HAR08",2016,"spring",11,2,27
"HAR","HAR09",2016,"spring",72,7,42
"HAR","HAR10",2016,"spring",89,6,42
"HAR","HAR11",2016,"spring",32,4,42
"HAR","HAR12",2016,"spring",67,7,42
"HAR","HAR13",2016,"spring",27,5,42
