"","landscape","site","year","StartDate","EndDate","exposure","uniqueID","season","sample_ID","honey.bee.abund","mean.sampling.date"
"61","SST","SST14",2010,2010-05-17,2010-05-24,7,"SST142010","spring","SST142010_2010-05-17",0,140.5
"62","SST","SST15",2010,2010-05-17,2010-05-24,7,"SST152010","spring","SST152010_2010-05-17",0,140.5
"63","SST","SST16",2010,2010-05-17,2010-05-24,7,"SST162010","spring","SST162010_2010-05-17",0,140.5
"64","WAN","WAN01",2010,2010-05-03,2010-05-25,22,"WAN012010","spring","WAN012010_2010-05-03",0,134
"65","WAN","WAN02",2010,2010-05-03,2010-05-25,22,"WAN022010","spring","WAN022010_2010-05-03",0,134
"66","WAN","WAN03",2010,2010-05-03,2010-05-25,22,"WAN032010","spring","WAN032010_2010-05-03",0,134
"67","WAN","WAN04",2010,2010-05-03,2010-05-25,22,"WAN042010","spring","WAN042010_2010-05-03",0,134
"68","WAN","WAN05",2010,2010-05-03,2010-05-25,22,"WAN052010","spring","WAN052010_2010-05-03",0,134
"69","WAN","WAN06",2010,2010-05-03,2010-05-25,22,"WAN062010","spring","WAN062010_2010-05-03",0,134
"70","WAN","WAN07",2010,2010-05-03,2010-05-25,22,"WAN072010","spring","WAN072010_2010-05-03",0,134
"71","WAN","WAN08",2010,2010-05-03,2010-05-25,22,"WAN082010","spring","WAN082010_2010-05-03",0,134
"72","WAN","WAN09",2010,2010-05-03,2010-05-25,22,"WAN092010","spring","WAN092010_2010-05-03",0,134
"73","WAN","WAN10",2010,2010-05-03,2010-05-25,22,"WAN102010","spring","WAN102010_2010-05-03",0,134
"74","WAN","WAN11",2010,2010-05-03,2010-05-25,22,"WAN112010","spring","WAN112010_2010-05-03",0,134
"75","WAN","WAN12",2010,2010-05-03,2010-05-25,22,"WAN122010","spring","WAN122010_2010-05-03",0,134
"76","WAN","WAN13",2010,2010-05-03,2010-05-25,22,"WAN132010","spring","WAN132010_2010-05-03",0,134
"77","WAN","WAN14",2010,2010-05-03,2010-05-25,22,"WAN142010","spring","WAN142010_2010-05-03",0,134
"78","WAN","WAN15",2010,2010-05-03,2010-05-25,22,"WAN152010","spring","WAN152010_2010-05-03",1,134
"79","WAN","WAN16",2010,2010-05-03,2010-05-25,22,"WAN162010","spring","WAN162010_2010-05-03",0,134
"80","HAR","HAR01",2010,2010-05-11,2010-05-25,14,"HAR012010","spring","HAR012010_2010-05-11",0,138
"81","HAR","HAR02",2010,2010-05-11,2010-05-25,14,"HAR022010","spring","HAR022010_2010-05-11",0,138
"82","HAR","HAR03",2010,2010-05-11,2010-05-25,14,"HAR032010","spring","HAR032010_2010-05-11",0,138
"83","HAR","HAR04",2010,2010-05-11,2010-05-25,14,"HAR042010","spring","HAR042010_2010-05-11",1,138
"84","HAR","HAR06",2010,2010-05-11,2010-05-25,14,"HAR062010","spring","HAR062010_2010-05-11",4,138
"85","HAR","HAR07",2010,2010-05-11,2010-05-25,14,"HAR072010","spring","HAR072010_2010-05-11",0,138
"86","HAR","HAR08",2010,2010-05-11,2010-05-25,14,"HAR082010","spring","HAR082010_2010-05-11",0,138
"87","HAR","HAR09",2010,2010-05-11,2010-05-25,14,"HAR092010","spring","HAR092010_2010-05-11",0,138
"88","HAR","HAR10",2010,2010-05-11,2010-05-25,14,"HAR102010","spring","HAR102010_2010-05-11",1,138
"89","HAR","HAR11",2010,2010-05-11,2010-05-25,14,"HAR112010","spring","HAR112010_2010-05-11",0,138
"90","HAR","HAR12",2010,2010-05-11,2010-05-25,14,"HAR122010","spring","HAR122010_2010-05-11",0,138
"91","HAR","HAR13",2010,2010-05-11,2010-05-25,14,"HAR132010","spring","HAR132010_2010-05-11",0,138
"92","HAR","HAR14",2010,2010-05-11,2010-05-25,14,"HAR142010","spring","HAR142010_2010-05-11",0,138
"93","HAR","HAR15",2010,2010-05-11,2010-05-25,14,"HAR152010","spring","HAR152010_2010-05-11",6,138
"94","HAR","HAR16",2010,2010-05-11,2010-05-25,14,"HAR162010","spring","HAR162010_2010-05-11",3,138
"95","GFH","GFH01",2010,2010-05-04,2010-05-26,22,"GFH012010","spring","GFH012010_2010-05-04",0,135
"96","GFH","GFH02",2010,2010-05-04,2010-05-26,22,"GFH022010","spring","GFH022010_2010-05-04",2,135
"97","GFH","GFH03",2010,2010-05-04,2010-05-26,22,"GFH032010","spring","GFH032010_2010-05-04",0,135
"98","GFH","GFH04",2010,2010-05-04,2010-05-26,22,"GFH042010","spring","GFH042010_2010-05-04",3,135
"99","GFH","GFH05",2010,2010-05-04,2010-05-26,22,"GFH052010","spring","GFH052010_2010-05-04",0,135
"100","GFH","GFH06",2010,2010-05-04,2010-05-26,22,"GFH062010","spring","GFH062010_2010-05-04",0,135
"101","GFH","GFH07",2010,2010-05-04,2010-05-26,22,"GFH072010","spring","GFH072010_2010-05-04",0,135
"102","GFH","GFH08",2010,2010-05-04,2010-05-26,22,"GFH082010","spring","GFH082010_2010-05-04",0,135
"103","GFH","GFH09",2010,2010-05-04,2010-05-26,22,"GFH092010","spring","GFH092010_2010-05-04",0,135
"104","GFH","GFH10",2010,2010-05-04,2010-05-26,22,"GFH102010","spring","GFH102010_2010-05-04",0,135
"105","GFH","GFH11",2010,2010-05-04,2010-05-26,22,"GFH112010","spring","GFH112010_2010-05-04",1,135
"106","GFH","GFH12",2010,2010-05-04,2010-05-26,22,"GFH122010","spring","GFH122010_2010-05-04",0,135
"107","GFH","GFH13",2010,2010-05-04,2010-05-26,22,"GFH132010","spring","GFH132010_2010-05-04",4,135
"108","GFH","GFH14",2010,2010-05-04,2010-05-26,22,"GFH142010","spring","GFH142010_2010-05-04",0,135
"109","GFH","GFH15",2010,2010-05-04,2010-05-26,22,"GFH152010","spring","GFH152010_2010-05-04",0,135
"110","GFH","GFH16",2010,2010-05-04,2010-05-26,22,"GFH162010","spring","GFH162010_2010-05-04",0,135
"111","SIP","SIP01",2010,2010-05-04,2010-05-26,22,"SIP012010","spring","SIP012010_2010-05-04",3,135
"112","SIP","SIP02",2010,2010-05-04,2010-05-26,22,"SIP022010","spring","SIP022010_2010-05-04",0,135
"113","SIP","SIP03",2010,2010-05-04,2010-05-26,22,"SIP032010","spring","SIP032010_2010-05-04",0,135
"114","SIP","SIP05",2010,2010-05-04,2010-05-26,22,"SIP052010","spring","SIP052010_2010-05-04",0,135
"115","SIP","SIP06",2010,2010-05-04,2010-05-26,22,"SIP062010","spring","SIP062010_2010-05-04",2,135
"116","SIP","SIP07",2010,2010-05-04,2010-05-26,22,"SIP072010","spring","SIP072010_2010-05-04",0,135
"117","SIP","SIP08",2010,2010-05-04,2010-05-26,22,"SIP082010","spring","SIP082010_2010-05-04",0,135
"118","SIP","SIP09",2010,2010-05-04,2010-05-26,22,"SIP092010","spring","SIP092010_2010-05-04",0,135
"119","SIP","SIP10",2010,2010-05-04,2010-05-26,22,"SIP102010","spring","SIP102010_2010-05-04",0,135
"120","SIP","SIP11",2010,2010-05-04,2010-05-26,22,"SIP112010","spring","SIP112010_2010-05-04",0,135
"121","SIP","SIP12",2010,2010-05-04,2010-05-26,22,"SIP122010","spring","SIP122010_2010-05-04",0,135
"122","SIP","SIP13",2010,2010-05-04,2010-05-26,22,"SIP132010","spring","SIP132010_2010-05-04",0,135
"123","SIP","SIP14",2010,2010-05-04,2010-05-26,22,"SIP142010","spring","SIP142010_2010-05-04",0,135
"124","SIP","SIP15",2010,2010-05-04,2010-05-26,22,"SIP152010","spring","SIP152010_2010-05-04",0,135
"125","SIP","SIP16",2010,2010-05-04,2010-05-26,22,"SIP162010","spring","SIP162010_2010-05-04",1,135
"126","FBG","FBG01",2010,2010-05-24,2010-06-07,14,"FBG012010","spring","FBG012010_2010-05-24",2,151
"127","FBG","FBG02",2010,2010-05-24,2010-06-07,14,"FBG022010","spring","FBG022010_2010-05-24",5,151
"128","FBG","FBG03",2010,2010-05-24,2010-06-07,14,"FBG032010","spring","FBG032010_2010-05-24",0,151
"129","FBG","FBG04",2010,2010-05-24,2010-06-07,14,"FBG042010","spring","FBG042010_2010-05-24",0,151
"130","FBG","FBG05",2010,2010-05-24,2010-06-07,14,"FBG052010","spring","FBG052010_2010-05-24",0,151
"131","FBG","FBG06",2010,2010-05-24,2010-06-07,14,"FBG062010","spring","FBG062010_2010-05-24",1,151
"132","FBG","FBG07",2010,2010-05-24,2010-06-07,14,"FBG072010","spring","FBG072010_2010-05-24",0,151
"133","FBG","FBG08",2010,2010-05-24,2010-06-07,14,"FBG082010","spring","FBG082010_2010-05-24",1,151
"134","FBG","FBG09",2010,2010-05-24,2010-06-07,14,"FBG092010","spring","FBG092010_2010-05-24",0,151
"135","FBG","FBG10",2010,2010-05-24,2010-06-07,14,"FBG102010","spring","FBG102010_2010-05-24",0,151
"136","FBG","FBG11",2010,2010-05-24,2010-06-07,14,"FBG112010","spring","FBG112010_2010-05-24",2,151
"137","FBG","FBG12",2010,2010-05-24,2010-06-07,14,"FBG122010","spring","FBG122010_2010-05-24",1,151
"138","FBG","FBG13",2010,2010-05-24,2010-06-07,14,"FBG132010","spring","FBG132010_2010-05-24",0,151
"139","FBG","FBG14",2010,2010-05-24,2010-06-07,14,"FBG142010","spring","FBG142010_2010-05-24",0,151
"140","FBG","FBG15",2010,2010-05-24,2010-06-07,14,"FBG152010","spring","FBG152010_2010-05-24",0,151
"141","FBG","FBG16",2010,2010-05-24,2010-06-07,14,"FBG162010","spring","FBG162010_2010-05-24",1,151
"142","SST","SST01",2010,2010-05-24,2010-06-07,14,"SST012010","spring","SST012010_2010-05-24",0,151
"143","SST","SST02",2010,2010-05-24,2010-06-07,14,"SST022010","spring","SST022010_2010-05-24",0,151
"144","SST","SST03",2010,2010-05-24,2010-06-07,14,"SST032010","spring","SST032010_2010-05-24",0,151
"145","SST","SST04",2010,2010-05-24,2010-06-07,14,"SST042010","spring","SST042010_2010-05-24",0,151
"146","SST","SST05",2010,2010-05-24,2010-06-07,14,"SST052010","spring","SST052010_2010-05-24",0,151
"147","SST","SST06",2010,2010-05-24,2010-06-07,14,"SST062010","spring","SST062010_2010-05-24",0,151
"148","SST","SST07",2010,2010-05-24,2010-06-07,14,"SST072010","spring","SST072010_2010-05-24",0,151
"149","SST","SST08",2010,2010-05-24,2010-06-07,14,"SST082010","spring","SST082010_2010-05-24",0,151
"150","SST","SST09",2010,2010-05-24,2010-06-07,14,"SST092010","spring","SST092010_2010-05-24",0,151
"151","SST","SST10",2010,2010-05-24,2010-06-07,14,"SST102010","spring","SST102010_2010-05-24",0,151
"152","SST","SST11",2010,2010-05-24,2010-06-07,14,"SST112010","spring","SST112010_2010-05-24",0,151
"153","SST","SST12",2010,2010-05-24,2010-06-07,14,"SST122010","spring","SST122010_2010-05-24",0,151
"154","SST","SST13",2010,2010-05-24,2010-06-07,14,"SST132010","spring","SST132010_2010-05-24",0,151
"155","SST","SST14",2010,2010-05-24,2010-06-07,14,"SST142010","spring","SST142010_2010-05-24",0,151
"156","SST","SST15",2010,2010-05-24,2010-06-07,14,"SST152010","spring","SST152010_2010-05-24",2,151
"157","SST","SST16",2010,2010-05-24,2010-06-07,14,"SST162010","spring","SST162010_2010-05-24",0,151
"158","HAR","HAR01",2010,2010-05-25,2010-06-08,14,"HAR012010","spring","HAR012010_2010-05-25",4,152
"159","HAR","HAR02",2010,2010-05-25,2010-06-08,14,"HAR022010","spring","HAR022010_2010-05-25",2,152
"160","HAR","HAR03",2010,2010-05-25,2010-06-08,14,"HAR032010","spring","HAR032010_2010-05-25",0,152
"161","HAR","HAR04",2010,2010-05-25,2010-06-08,14,"HAR042010","spring","HAR042010_2010-05-25",2,152
"162","HAR","HAR05",2010,2010-05-25,2010-06-08,14,"HAR052010","spring","HAR052010_2010-05-25",3,152
"163","HAR","HAR06",2010,2010-05-25,2010-06-08,14,"HAR062010","spring","HAR062010_2010-05-25",24,152
"164","HAR","HAR07",2010,2010-05-25,2010-06-08,14,"HAR072010","spring","HAR072010_2010-05-25",3,152
"165","HAR","HAR08",2010,2010-05-25,2010-06-08,14,"HAR082010","spring","HAR082010_2010-05-25",1,152
"166","HAR","HAR09",2010,2010-05-25,2010-06-08,14,"HAR092010","spring","HAR092010_2010-05-25",3,152
"167","HAR","HAR10",2010,2010-05-25,2010-06-08,14,"HAR102010","spring","HAR102010_2010-05-25",5,152
"168","HAR","HAR11",2010,2010-05-25,2010-06-08,14,"HAR112010","spring","HAR112010_2010-05-25",0,152
"169","HAR","HAR12",2010,2010-05-25,2010-06-08,14,"HAR122010","spring","HAR122010_2010-05-25",1,152
"170","HAR","HAR13",2010,2010-05-25,2010-06-08,14,"HAR132010","spring","HAR132010_2010-05-25",2,152
"171","HAR","HAR14",2010,2010-05-25,2010-06-08,14,"HAR142010","spring","HAR142010_2010-05-25",5,152
"172","HAR","HAR15",2010,2010-05-25,2010-06-08,14,"HAR152010","spring","HAR152010_2010-05-25",1,152
"173","HAR","HAR16",2010,2010-05-25,2010-06-08,14,"HAR162010","spring","HAR162010_2010-05-25",10,152
"174","WAN","WAN01",2010,2010-05-25,2010-06-08,14,"WAN012010","spring","WAN012010_2010-05-25",0,152
"175","WAN","WAN02",2010,2010-05-25,2010-06-08,14,"WAN022010","spring","WAN022010_2010-05-25",0,152
"176","WAN","WAN03",2010,2010-05-25,2010-06-08,14,"WAN032010","spring","WAN032010_2010-05-25",0,152
"177","WAN","WAN04",2010,2010-05-25,2010-06-08,14,"WAN042010","spring","WAN042010_2010-05-25",0,152
"178","WAN","WAN05",2010,2010-05-25,2010-06-08,14,"WAN052010","spring","WAN052010_2010-05-25",0,152
"179","WAN","WAN06",2010,2010-05-25,2010-06-08,14,"WAN062010","spring","WAN062010_2010-05-25",0,152
"180","WAN","WAN07",2010,2010-05-25,2010-06-08,14,"WAN072010","spring","WAN072010_2010-05-25",0,152
"181","WAN","WAN08",2010,2010-05-25,2010-06-08,14,"WAN082010","spring","WAN082010_2010-05-25",0,152
"182","WAN","WAN09",2010,2010-05-25,2010-06-08,14,"WAN092010","spring","WAN092010_2010-05-25",1,152
"183","WAN","WAN10",2010,2010-05-25,2010-06-08,14,"WAN102010","spring","WAN102010_2010-05-25",0,152
"184","WAN","WAN11",2010,2010-05-25,2010-06-08,14,"WAN112010","spring","WAN112010_2010-05-25",0,152
"185","WAN","WAN12",2010,2010-05-25,2010-06-08,14,"WAN122010","spring","WAN122010_2010-05-25",1,152
"186","WAN","WAN13",2010,2010-05-25,2010-06-08,14,"WAN132010","spring","WAN132010_2010-05-25",0,152
"187","WAN","WAN14",2010,2010-05-25,2010-06-08,14,"WAN142010","spring","WAN142010_2010-05-25",0,152
"188","WAN","WAN15",2010,2010-05-25,2010-06-08,14,"WAN152010","spring","WAN152010_2010-05-25",0,152
"189","WAN","WAN16",2010,2010-05-25,2010-06-08,14,"WAN162010","spring","WAN162010_2010-05-25",1,152
"190","GFH","GFH01",2010,2010-05-26,2010-06-09,14,"GFH012010","spring","GFH012010_2010-05-26",0,153
"191","GFH","GFH02",2010,2010-05-26,2010-06-09,14,"GFH022010","spring","GFH022010_2010-05-26",0,153
"192","GFH","GFH03",2010,2010-05-26,2010-06-09,14,"GFH032010","spring","GFH032010_2010-05-26",0,153
"193","GFH","GFH05",2010,2010-05-26,2010-06-09,14,"GFH052010","spring","GFH052010_2010-05-26",1,153
"194","GFH","GFH06",2010,2010-05-26,2010-06-09,14,"GFH062010","spring","GFH062010_2010-05-26",0,153
"195","GFH","GFH07",2010,2010-05-26,2010-06-09,14,"GFH072010","spring","GFH072010_2010-05-26",5,153
"196","GFH","GFH08",2010,2010-05-26,2010-06-09,14,"GFH082010","spring","GFH082010_2010-05-26",0,153
"197","GFH","GFH09",2010,2010-05-26,2010-06-09,14,"GFH092010","spring","GFH092010_2010-05-26",0,153
"198","GFH","GFH10",2010,2010-05-26,2010-06-09,14,"GFH102010","spring","GFH102010_2010-05-26",1,153
"199","GFH","GFH11",2010,2010-05-26,2010-06-09,14,"GFH112010","spring","GFH112010_2010-05-26",0,153
"200","GFH","GFH12",2010,2010-05-26,2010-06-09,14,"GFH122010","spring","GFH122010_2010-05-26",4,153
"201","GFH","GFH13",2010,2010-05-26,2010-06-09,14,"GFH132010","spring","GFH132010_2010-05-26",8,153
"202","GFH","GFH14",2010,2010-05-26,2010-06-09,14,"GFH142010","spring","GFH142010_2010-05-26",1,153
"203","GFH","GFH15",2010,2010-05-26,2010-06-09,14,"GFH152010","spring","GFH152010_2010-05-26",3,153
"204","GFH","GFH16",2010,2010-05-26,2010-06-09,14,"GFH162010","spring","GFH162010_2010-05-26",1,153
"205","SIP","SIP01",2010,2010-05-26,2010-06-09,14,"SIP012010","spring","SIP012010_2010-05-26",11,153
"206","SIP","SIP02",2010,2010-05-26,2010-06-09,14,"SIP022010","spring","SIP022010_2010-05-26",0,153
"207","SIP","SIP03",2010,2010-05-26,2010-06-09,14,"SIP032010","spring","SIP032010_2010-05-26",0,153
"208","SIP","SIP05",2010,2010-05-26,2010-06-09,14,"SIP052010","spring","SIP052010_2010-05-26",6,153
"209","SIP","SIP06",2010,2010-05-26,2010-06-09,14,"SIP062010","spring","SIP062010_2010-05-26",1,153
"210","SIP","SIP07",2010,2010-05-26,2010-06-09,14,"SIP072010","spring","SIP072010_2010-05-26",1,153
"211","SIP","SIP08",2010,2010-05-26,2010-06-09,14,"SIP082010","spring","SIP082010_2010-05-26",0,153
"212","SIP","SIP09",2010,2010-05-26,2010-06-09,14,"SIP092010","spring","SIP092010_2010-05-26",0,153
"213","SIP","SIP10",2010,2010-05-26,2010-06-09,14,"SIP102010","spring","SIP102010_2010-05-26",2,153
"214","SIP","SIP11",2010,2010-05-26,2010-06-09,14,"SIP112010","spring","SIP112010_2010-05-26",2,153
"215","SIP","SIP12",2010,2010-05-26,2010-06-09,14,"SIP122010","spring","SIP122010_2010-05-26",2,153
"216","SIP","SIP13",2010,2010-05-26,2010-06-09,14,"SIP132010","spring","SIP132010_2010-05-26",0,153
"217","SIP","SIP14",2010,2010-05-26,2010-06-09,14,"SIP142010","spring","SIP142010_2010-05-26",0,153
"218","SIP","SIP15",2010,2010-05-26,2010-06-09,14,"SIP152010","spring","SIP152010_2010-05-26",1,153
"219","SIP","SIP16",2010,2010-05-26,2010-06-09,14,"SIP162010","spring","SIP162010_2010-05-26",0,153
"220","FBG","FBG01",2011,2011-05-02,2011-05-16,14,"FBG012011","spring","FBG012011_2011-05-02",4,129
"221","FBG","FBG02",2011,2011-05-02,2011-05-16,14,"FBG022011","spring","FBG022011_2011-05-02",0,129
"222","FBG","FBG03",2011,2011-05-02,2011-05-16,14,"FBG032011","spring","FBG032011_2011-05-02",1,129
"223","FBG","FBG04",2011,2011-05-02,2011-05-16,14,"FBG042011","spring","FBG042011_2011-05-02",0,129
"224","FBG","FBG05",2011,2011-05-02,2011-05-16,14,"FBG052011","spring","FBG052011_2011-05-02",1,129
"225","FBG","FBG06",2011,2011-05-02,2011-05-16,14,"FBG062011","spring","FBG062011_2011-05-02",0,129
"226","FBG","FBG07",2011,2011-05-02,2011-05-16,14,"FBG072011","spring","FBG072011_2011-05-02",0,129
"227","FBG","FBG08",2011,2011-05-02,2011-05-16,14,"FBG082011","spring","FBG082011_2011-05-02",1,129
"228","FBG","FBG09",2011,2011-05-02,2011-05-16,14,"FBG092011","spring","FBG092011_2011-05-02",0,129
"229","FBG","FBG10",2011,2011-05-02,2011-05-16,14,"FBG102011","spring","FBG102011_2011-05-02",2,129
"230","FBG","FBG11",2011,2011-05-02,2011-05-16,14,"FBG112011","spring","FBG112011_2011-05-02",1,129
"231","FBG","FBG12",2011,2011-05-02,2011-05-16,14,"FBG122011","spring","FBG122011_2011-05-02",0,129
"232","FBG","FBG13",2011,2011-05-02,2011-05-16,14,"FBG132011","spring","FBG132011_2011-05-02",24,129
"233","FBG","FBG14",2011,2011-05-02,2011-05-16,14,"FBG142011","spring","FBG142011_2011-05-02",15,129
"234","FBG","FBG16",2011,2011-05-02,2011-05-16,14,"FBG162011","spring","FBG162011_2011-05-02",0,129
"235","SST","SST01",2011,2011-05-02,2011-05-16,14,"SST012011","spring","SST012011_2011-05-02",0,129
"236","SST","SST02",2011,2011-05-02,2011-05-16,14,"SST022011","spring","SST022011_2011-05-02",0,129
"237","SST","SST03",2011,2011-05-02,2011-05-16,14,"SST032011","spring","SST032011_2011-05-02",0,129
"238","SST","SST04",2011,2011-05-02,2011-05-16,14,"SST042011","spring","SST042011_2011-05-02",0,129
"239","SST","SST05",2011,2011-05-02,2011-05-16,14,"SST052011","spring","SST052011_2011-05-02",0,129
"240","SST","SST06",2011,2011-05-02,2011-05-16,14,"SST062011","spring","SST062011_2011-05-02",0,129
