"","landscape","site","year","uniqueID","spring.start","spring.end","spring.gap.start","spring.gap.end","spring.exposure","summer.start","summer.end","summer.gap.start","summer.gap.end","summer.exposure","total.exposure","honey.bee.abund"
"17","GFH","GFH01",2010,"GFH012010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,5
"18","GFH","GFH02",2010,"GFH022010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,3
"19","GFH","GFH03",2010,"GFH032010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,1
"20","GFH","GFH04",2010,"GFH042010",2010-05-04,2010-05-26,NA,NA,22,2010-08-04,2010-09-15,NA,NA,42,64,5
"21","GFH","GFH05",2010,"GFH052010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,5
"22","GFH","GFH06",2010,"GFH062010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,0
"23","GFH","GFH07",2010,"GFH072010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,6
"24","GFH","GFH08",2010,"GFH082010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,6
"25","GFH","GFH09",2010,"GFH092010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,7
"26","GFH","GFH10",2010,"GFH102010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,4
"27","GFH","GFH11",2010,"GFH112010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,6
"28","GFH","GFH12",2010,"GFH122010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,8
"29","GFH","GFH13",2010,"GFH132010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,23
"30","GFH","GFH14",2010,"GFH142010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,10
"31","GFH","GFH15",2010,"GFH152010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,14
"32","GFH","GFH16",2010,"GFH162010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,9
"33","HAR","HAR01",2010,"HAR012010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,5
"34","HAR","HAR02",2010,"HAR022010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,7
"35","HAR","HAR03",2010,"HAR032010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,11
"36","HAR","HAR04",2010,"HAR042010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,7
"37","HAR","HAR05",2010,"HAR052010",2010-05-25,2010-06-08,NA,NA,14,2010-08-03,2010-09-14,NA,NA,42,56,7
"38","HAR","HAR06",2010,"HAR062010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,32
"39","HAR","HAR07",2010,"HAR072010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,42
"40","HAR","HAR08",2010,"HAR082010",2010-05-11,2010-06-08,NA,NA,28,2010-08-17,2010-09-14,NA,NA,28,56,9
"41","HAR","HAR09",2010,"HAR092010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,26
"42","HAR","HAR10",2010,"HAR102010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,22
"43","HAR","HAR11",2010,"HAR112010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,52
"44","HAR","HAR12",2010,"HAR122010",2010-05-11,2010-06-08,NA,NA,28,2010-08-17,2010-09-14,NA,NA,28,56,24
"45","HAR","HAR13",2010,"HAR132010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,23
"46","HAR","HAR14",2010,"HAR142010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,25
"47","HAR","HAR15",2010,"HAR152010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,37
"48","HAR","HAR16",2010,"HAR162010",2010-05-11,2010-06-08,NA,NA,28,2010-08-03,2010-09-14,NA,NA,42,70,22
"49","SIP","SIP01",2010,"SIP012010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-01,NA,NA,28,64,14
"50","SIP","SIP02",2010,"SIP022010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,1
"51","SIP","SIP03",2010,"SIP032010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,0
"52","SIP","SIP05",2010,"SIP052010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,7
"53","SIP","SIP06",2010,"SIP062010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,5
"54","SIP","SIP07",2010,"SIP072010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,2
"55","SIP","SIP08",2010,"SIP082010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,0
"56","SIP","SIP09",2010,"SIP092010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,1
"57","SIP","SIP10",2010,"SIP102010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,4
"58","SIP","SIP11",2010,"SIP112010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,3
"59","SIP","SIP12",2010,"SIP122010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,4
"60","SIP","SIP13",2010,"SIP132010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,0
"61","SIP","SIP14",2010,"SIP142010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,1
"62","SIP","SIP15",2010,"SIP152010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-15,NA,NA,42,78,1
"63","SIP","SIP16",2010,"SIP162010",2010-05-04,2010-06-09,NA,NA,36,2010-08-04,2010-09-01,NA,NA,28,64,3
"64","SST","SST01",2010,"SST012010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,0
"65","SST","SST02",2010,"SST022010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,3
"66","SST","SST03",2010,"SST032010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,8
"67","SST","SST04",2010,"SST042010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,3
"68","SST","SST05",2010,"SST052010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,12
"69","SST","SST06",2010,"SST062010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,2
"70","SST","SST07",2010,"SST072010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,2010-08-16,2010-08-30,28,64,0
"71","SST","SST08",2010,"SST082010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,1
"72","SST","SST09",2010,"SST092010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,5
"73","SST","SST10",2010,"SST102010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,0
"74","SST","SST11",2010,"SST112010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,2
"75","SST","SST12",2010,"SST122010",2010-05-17,2010-06-07,NA,NA,21,2010-08-02,2010-09-13,NA,NA,42,63,9
"76","SST","SST13",2010,"SST132010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,21
"77","SST","SST14",2010,"SST142010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,1
"78","SST","SST15",2010,"SST152010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,4
"79","SST","SST16",2010,"SST162010",2010-05-02,2010-06-07,NA,NA,36,2010-08-02,2010-09-13,NA,NA,42,78,0
"80","WAN","WAN01",2010,"WAN012010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-08-31,NA,NA,28,64,1
"81","WAN","WAN02",2010,"WAN022010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-08-31,NA,NA,28,64,0
"82","WAN","WAN03",2010,"WAN032010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,2010-08-17,2010-08-31,28,64,4
"83","WAN","WAN04",2010,"WAN042010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-08-31,NA,NA,28,64,0
"84","WAN","WAN05",2010,"WAN052010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-08-17,NA,NA,14,50,0
"85","WAN","WAN06",2010,"WAN062010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,0
"86","WAN","WAN07",2010,"WAN072010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,0
"87","WAN","WAN08",2010,"WAN082010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-08-31,NA,NA,28,64,0
"88","WAN","WAN09",2010,"WAN092010",2010-05-03,2010-06-08,NA,NA,36,2010-08-17,2010-09-14,NA,NA,28,64,1
"89","WAN","WAN10",2010,"WAN102010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,12
"90","WAN","WAN11",2010,"WAN112010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,0
"91","WAN","WAN12",2010,"WAN122010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,2
"92","WAN","WAN13",2010,"WAN132010",2010-05-03,2010-06-08,NA,NA,36,2010-08-17,2010-09-14,NA,NA,28,64,1
"93","WAN","WAN14",2010,"WAN142010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,3
"94","WAN","WAN15",2010,"WAN152010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,NA,NA,42,78,3
"95","WAN","WAN16",2010,"WAN162010",2010-05-03,2010-06-08,NA,NA,36,2010-08-03,2010-09-14,2010-08-17,2010-08-31,28,64,9
"96","FBG","FBG01",2011,"FBG012011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,14
"97","FBG","FBG02",2011,"FBG022011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,41
"98","FBG","FBG03",2011,"FBG032011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,2011-08-15,2011-08-29,28,71,7
"99","FBG","FBG04",2011,"FBG042011",2011-05-02,2011-06-14,2011-05-16,2011-05-30,29,2011-08-01,2011-09-12,NA,NA,42,71,25
"100","FBG","FBG05",2011,"FBG052011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,34
"101","FBG","FBG06",2011,"FBG062011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,25
"102","FBG","FBG07",2011,"FBG072011",2011-05-02,2011-06-14,NA,NA,43,2011-08-15,2011-09-12,NA,NA,28,71,23
"103","FBG","FBG08",2011,"FBG082011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,26
"104","FBG","FBG09",2011,"FBG092011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,33
"105","FBG","FBG10",2011,"FBG102011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-08-15,NA,NA,14,57,11
"106","FBG","FBG11",2011,"FBG112011",2011-05-02,2011-06-14,2011-05-16,2011-05-30,29,2011-08-01,2011-08-29,NA,NA,28,57,9
"107","FBG","FBG12",2011,"FBG122011",2011-05-02,2011-05-30,NA,NA,28,2011-08-01,2011-09-12,NA,NA,42,70,6
"108","FBG","FBG13",2011,"FBG132011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,61
"109","FBG","FBG14",2011,"FBG142011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,29
"110","FBG","FBG15",2011,"FBG152011",2011-05-16,2011-06-14,NA,NA,29,2011-08-01,2011-09-12,NA,NA,42,71,16
"111","FBG","FBG16",2011,"FBG162011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,21
"112","GFH","GFH01",2011,"GFH012011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-08-31,NA,NA,28,71,5
"113","GFH","GFH02",2011,"GFH022011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-08-31,NA,NA,28,71,5
"114","GFH","GFH03",2011,"GFH032011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,10
"115","GFH","GFH04",2011,"GFH042011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,14
"116","GFH","GFH05",2011,"GFH052011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,16
"117","GFH","GFH06",2011,"GFH062011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,2011-08-17,2011-08-31,28,71,3
"118","GFH","GFH07",2011,"GFH072011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,12
"119","GFH","GFH08",2011,"GFH082011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,17
"120","GFH","GFH09",2011,"GFH092011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,14
"121","GFH","GFH10",2011,"GFH102011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,11
"122","GFH","GFH11",2011,"GFH112011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,29
"123","GFH","GFH12",2011,"GFH122011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,8
"124","GFH","GFH13",2011,"GFH132011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,22
"125","GFH","GFH14",2011,"GFH142011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,13
"126","GFH","GFH15",2011,"GFH152011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,43
"127","GFH","GFH16",2011,"GFH162011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,47
"128","HAR","HAR01",2011,"HAR012011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,8
"129","HAR","HAR02",2011,"HAR022011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-08-30,NA,NA,28,71,7
"130","HAR","HAR03",2011,"HAR032011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,17
"131","HAR","HAR04",2011,"HAR042011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,2011-08-16,2011-08-30,28,71,3
"132","HAR","HAR05",2011,"HAR052011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,22
"133","HAR","HAR06",2011,"HAR062011",2011-05-03,2011-05-31,NA,NA,28,2011-08-02,2011-09-13,NA,NA,42,70,11
"134","HAR","HAR07",2011,"HAR072011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,6
"135","HAR","HAR08",2011,"HAR082011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,10
"136","HAR","HAR09",2011,"HAR092011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,26
"137","HAR","HAR10",2011,"HAR102011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,10
"138","HAR","HAR11",2011,"HAR112011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,18
"139","HAR","HAR12",2011,"HAR122011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,56
"140","HAR","HAR13",2011,"HAR132011",2011-05-03,2011-06-15,NA,NA,43,2011-08-16,2011-09-13,NA,NA,28,71,28
"141","HAR","HAR14",2011,"HAR142011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,28
"142","HAR","HAR15",2011,"HAR152011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,58
"143","HAR","HAR16",2011,"HAR162011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,406
"144","SIP","SIP01",2011,"SIP012011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0
"145","SIP","SIP02",2011,"SIP022011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0
"146","SIP","SIP03",2011,"SIP032011",2011-05-18,2011-06-16,NA,NA,29,2011-08-03,2011-09-14,NA,NA,42,71,1
"147","SIP","SIP05",2011,"SIP052011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-08-31,NA,NA,28,71,0
"148","SIP","SIP06",2011,"SIP062011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,5
"149","SIP","SIP07",2011,"SIP072011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-08-31,NA,NA,28,71,1
"150","SIP","SIP08",2011,"SIP082011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0
"151","SIP","SIP09",2011,"SIP092011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0
"152","SIP","SIP10",2011,"SIP102011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-08-31,NA,NA,28,71,5
"153","SIP","SIP11",2011,"SIP112011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-08-17,NA,NA,14,57,2
"154","SIP","SIP12",2011,"SIP122011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,8
"155","SIP","SIP13",2011,"SIP132011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0
"156","SIP","SIP14",2011,"SIP142011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0
"157","SIP","SIP15",2011,"SIP152011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,3
"158","SIP","SIP16",2011,"SIP162011",2011-05-04,2011-06-16,NA,NA,43,2011-08-03,2011-09-14,NA,NA,42,85,0
"159","SST","SST01",2011,"SST012011",2011-05-02,2011-06-14,NA,NA,43,2011-08-15,2011-09-12,NA,NA,28,71,1
"160","SST","SST02",2011,"SST022011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,1
"161","SST","SST03",2011,"SST032011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,12
"162","SST","SST04",2011,"SST042011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-08-29,NA,NA,28,71,5
"163","SST","SST05",2011,"SST052011",2011-05-02,2011-06-14,NA,NA,43,2011-08-15,2011-09-12,NA,NA,28,71,7
"164","SST","SST06",2011,"SST062011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,1
"165","SST","SST07",2011,"SST072011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,1
"166","SST","SST08",2011,"SST082011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,10
"167","SST","SST09",2011,"SST092011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,0
"168","SST","SST10",2011,"SST102011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-08-29,NA,NA,28,71,2
"169","SST","SST11",2011,"SST112011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-08-29,NA,NA,28,71,2
"170","SST","SST12",2011,"SST122011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,5
"171","SST","SST13",2011,"SST132011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,9
"172","SST","SST14",2011,"SST142011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,2
"173","SST","SST15",2011,"SST152011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-08-29,NA,NA,28,71,0
"174","SST","SST16",2011,"SST162011",2011-05-02,2011-06-14,NA,NA,43,2011-08-01,2011-09-12,NA,NA,42,85,2
"175","WAN","WAN01",2011,"WAN012011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,15
"176","WAN","WAN02",2011,"WAN022011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,2011-08-16,2011-08-30,28,71,6
"177","WAN","WAN03",2011,"WAN032011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,2011-08-16,2011-08-30,28,71,9
"178","WAN","WAN04",2011,"WAN042011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,132
"179","WAN","WAN05",2011,"WAN052011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-08-30,NA,NA,28,71,1
"180","WAN","WAN06",2011,"WAN062011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,8
"181","WAN","WAN07",2011,"WAN072011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,10
"182","WAN","WAN08",2011,"WAN082011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,40
"183","WAN","WAN09",2011,"WAN092011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,8
"184","WAN","WAN10",2011,"WAN102011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,21
"185","WAN","WAN11",2011,"WAN112011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-08-30,NA,NA,28,71,3
"186","WAN","WAN12",2011,"WAN122011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,10
"187","WAN","WAN13",2011,"WAN132011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,9
"188","WAN","WAN14",2011,"WAN142011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,7
"189","WAN","WAN15",2011,"WAN152011",2011-05-03,2011-06-15,NA,NA,43,2011-08-16,2011-09-13,NA,NA,28,71,1
"190","WAN","WAN16",2011,"WAN162011",2011-05-03,2011-06-15,NA,NA,43,2011-08-02,2011-09-13,NA,NA,42,85,19
"191","FBG","FBG01",2012,"FBG012012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,16
"192","FBG","FBG02",2012,"FBG022012",2012-05-02,2012-06-12,2012-05-15,2012-05-29,27,2012-07-31,2012-09-11,NA,NA,42,69,20
"193","FBG","FBG03",2012,"FBG032012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,13
"194","FBG","FBG04",2012,"FBG042012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,53
"195","FBG","FBG05",2012,"FBG052012",2012-05-02,2012-05-29,2012-05-15,2012-05-14,28,2012-07-31,2012-09-11,NA,NA,42,70,26
"196","FBG","FBG06",2012,"FBG062012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,4
